Underlord,4.0966,48.6326,1353
Silencer,3.4129,49.4064,5139
Spectre,3.0677,46.3473,5366
Beastmaster,2.1295,55.878,689
Riki,1.7943,46.0524,8955
Omniknight,1.6743,47.0998,3155
Bloodseeker,1.4742,48.7587,8540
Jakiro,1.4563,46.7975,2904
Venomancer,1.3628,46.7677,3496
Abaddon,1.3504,45.2948,2391
Luna,1.3339,47.8,6523
Alchemist,1.3237,59.4188,3063
Razor,1.2798,54.5454,2519
Faceless Void,1.1009,50.3156,4593
Centaur Warrunner,1.0869,46.2054,2833
Lich,1.0835,45.7723,2117
Phantom Assassin,1.0407,46.2994,14903
Treant Protector,1.037,49.9277,2770
Bristleback,0.963,49.196,9889
Weaver,0.9551,50.801,5181
Pugna,0.935,53.8739,1936
Storm Spirit,0.9329,53.205,6755
Sven,0.924,45.309,7621
Necrophos,0.8883,43.4514,6154
Sand King,0.8793,52.102,4781
Enchantress,0.8751,58.6592,1611
Death Prophet,0.8688,53.1995,1844
Mirana,0.8673,50.8046,6338
Warlock,0.8434,48.558,2566
Huskar,0.7854,53.8076,3795
Meepo,0.7687,57.9551,2005
Earthshaker,0.7677,49.4031,5864
Disruptor,0.6537,50.9457,2379
Nature's Prophet,0.3862,60.2346,3239
Troll Warlord,0.3703,46.7317,7068
Undying,0.3703,49.5757,1650
Zeus,0.3282,42.6037,4793
Drow Ranger,0.3275,48.9735,5699
Anti-Mage,0.2963,52.4202,9214
Dark Seer,0.2714,52.4899,1486
Legion Commander,0.2705,52.219,13001
Vengeful Spirit,0.2464,47.1504,3597
Tidehunter,0.2314,50.1694,2655
Crystal Maiden,0.2293,44.8944,8716
Leshrac,0.2018,55.9863,877
Lone Druid,0.1976,61.3718,1108
Kunkka,0.1665,54.775,4000
Enigma,0.0701,48.3061,3070
Shadow Shaman,0.0613,46.1702,3290
Ancient Apparition,0.0315,49.5192,1456
Juggernaut,-0.0069,51.1035,11191
Chaos Knight,-0.0116,46.9111,3027
Slark,-0.046,53.8763,9674
Lifestealer,-0.0467,52.776,4953
Phoenix,-0.0716,50.806,1799
Bane,-0.0755,55.8778,1310
Outworld Devourer,-0.0816,50.8039,4478
Visage,-0.1249,56.2925,588
Lycan,-0.1667,48.5074,1474
Clockwerk,-0.1794,47.1133,3239
Ogre Magi,-0.2104,47.1856,5241
Phantom Lancer,-0.2179,51.3618,3084
Skywrath Mage,-0.2304,51.0975,2460
Dazzle,-0.2601,49.4466,2259
Sniper,-0.2745,48.7686,14212
Timbersaw,-0.2976,53.4337,4383
Dragon Knight,-0.3376,47.7176,2848
Slardar,-0.4234,48.8101,6177
Nyx Assassin,-0.448,49.4483,4079
Witch Doctor,-0.5112,49.2904,2889
Axe,-0.5829,46.7896,10248
Keeper of the Light,-0.5961,52.5238,2100
Viper,-0.6144,47.5,4160
Wraith King,-0.6498,43.027,6389
Ember Spirit,-0.657,52.2145,6209
Brewmaster,-0.6614,53.6989,784
Invoker,-0.6987,51.9032,19440
Night Stalker,-0.7014,48.1386,2740
Terrorblade,-0.7066,50.4217,2608
Rubick,-0.7129,54.387,4707
Chen,-0.7691,56.6406,512
Pudge,-0.826,48.1,17185
Gyrocopter,-0.8455,52.9908,1421
Arc Warden,-0.8792,57.4531,1013
Elder Titan,-0.9667,47.8021,910
Ursa,-1.0225,44.9878,4948
Batrider,-1.0229,56.3573,1164
Naga Siren,-1.0713,57.3635,971
Lina,-1.1214,52.3108,7681
Oracle,-1.1554,60.31,645
Morphling,-1.1841,55.2976,2671
Queen of Pain,-1.2811,55.0534,4581
Spirit Breaker,-1.2989,42.4484,6502
Tiny,-1.3382,54.2361,3057
Clinkz,-1.4129,49.9172,3626
Magnus,-1.5133,53.8595,4599
Puck,-1.5625,56.4198,3201
Broodmother,-1.7836,60.4384,958
Monkey King,-1.9935,56.8723,4489
Bounty Hunter,-2.0129,49.3506,4851
Medusa,-2.0476,52.1628,2751
Templar Assassin,-2.2871,51.5917,4429
Doom,-2.4152,54.3793,1587
Windranger,-2.466,51.27,6811
Lion,-2.4849,50.9678,5321
Winter Wyvern,-2.6555,50.7331,1364
Tusk,-2.8571,55.7759,1714
Tinker,-2.9031,50.6683,6359
Shadow Demon,-3.3739,53.4954,987
Io,-3.868,62.891,927
Techies,-4.1546,49.1584,1723
Earth Spirit,-4.3277,56.0842,1282
