Chen,3.8728,64.135,237
Beastmaster,3.2884,59.9277,277
Winter Wyvern,2.7209,59.3625,502
Dragon Knight,2.6116,54.3624,1043
Viper,2.4842,54.2507,1635
Naga Siren,2.4836,63.5514,428
Elder Titan,2.1667,54.6511,344
Ancient Apparition,1.6878,54.6712,578
Tusk,1.5152,62.7536,690
Slark,1.4897,58.1478,3369
Huskar,1.4433,57.3906,1326
Jakiro,1.4198,50.7029,1138
Ember Spirit,1.3569,57.1507,1818
Treant Protector,1.2738,53.6563,1094
Ursa,1.2024,51.1602,1853
Clockwerk,1.1673,52.2847,1138
Sven,1.1341,49.6056,2536
Gyrocopter,1.1319,57.9892,557
Bloodseeker,1.0746,52.0295,2981
Keeper of the Light,1.005,57.1946,827
Earthshaker,0.9789,53.1344,1978
Pudge,0.9254,53.2061,5505
Lifestealer,0.9142,56.7375,1833
Juggernaut,0.914,55.1836,3675
Io,0.9085,69.4444,396
Troll Warlord,0.8804,51.0936,2423
Omniknight,0.8419,50.1647,1214
Slardar,0.8033,53.5231,2072
Leshrac,0.7628,59.2991,371
Death Prophet,0.7588,56.1119,679
Outworld Devourer,0.7368,54.8788,1445
Weaver,0.7117,53.9139,1929
Riki,0.6501,49.0282,2933
Clinkz,0.6111,55.2554,1370
Anti-Mage,0.5718,55.759,3221
Wraith King,0.5718,48.5254,2238
Doom,0.5519,60.0985,609
Lycan,0.5091,52.7824,593
Shadow Fiend,0.482,53.8297,3290
Nyx Assassin,0.4313,53.7557,1531
Zeus,0.4219,47.1663,1641
Lone Druid,0.4134,63.5714,420
Medusa,0.3776,57.5727,997
Morphling,0.3584,59.4488,1016
Templar Assassin,0.3279,57.1713,1506
Tinker,0.2992,56.855,2035
Lina,0.2961,56.6173,2501
Timbersaw,0.2013,56.8256,1531
Axe,0.0542,51.1489,3351
Storm Spirit,-0.0083,55.2483,2134
Night Stalker,-0.0311,52.4102,975
Crystal Maiden,-0.106,48.7383,3527
Invoker,-0.1455,55.433,4988
Vengeful Spirit,-0.2147,50.4898,1327
Bounty Hunter,-0.2504,54.4318,1681
Alchemist,-0.2786,60.0515,1164
Enigma,-0.2931,51.5759,1047
Legion Commander,-0.3143,54.7916,4320
Monkey King,-0.3233,60.7723,1476
Lion,-0.3479,56.1848,2207
Abaddon,-0.3669,47.6605,919
Queen of Pain,-0.4742,58.2831,1328
Ogre Magi,-0.4803,50.695,2302
Terrorblade,-0.5191,53.9029,948
Pugna,-0.5221,55.3865,789
Phantom Assassin,-0.5329,48.8512,4962
Luna,-0.578,49.7431,2336
Razor,-0.6689,55.4476,927
Phoenix,-0.7244,53.4246,657
Tidehunter,-0.7314,52.5961,1040
Dazzle,-0.7423,52.421,950
Witch Doctor,-0.7646,52.5144,1213
Windranger,-0.7907,55.9402,2542
Bane,-0.8465,57.7437,523
Disruptor,-0.8873,52.7098,941
Batrider,-0.8892,58.9912,456
Spirit Breaker,-0.9167,47.1645,2504
Sand King,-0.9218,53.4678,1586
Bristleback,-0.9392,50.9797,3266
Tiny,-1.017,57.2752,1079
Underlord,-1.0268,47.2072,555
Kunkka,-1.0572,56.3179,1472
Enchantress,-1.1184,59.0236,676
Magnus,-1.1259,56.9293,1472
Centaur Warrunner,-1.1726,47.9146,1031
Venomancer,-1.1882,48.1626,1279
Spectre,-1.2299,46.2653,1794
Necrophos,-1.2446,45.7364,2193
Puck,-1.2691,58.9962,1056
Mirana,-1.4423,51.8853,1989
Rubick,-1.4566,56.3975,1821
Oracle,-1.5748,62.171,304
Chaos Knight,-1.6769,49.0304,1083
Faceless Void,-1.9104,50.7645,1635
Sniper,-2.0114,50.7482,4544
Warlock,-2.0168,49.3319,973
Broodmother,-2.039,62.2107,389
Lich,-2.0546,46.5921,895
Undying,-2.2458,50.3852,649
Phantom Lancer,-2.6223,52.15,1093
Dark Seer,-2.6435,52.5939,559
Nature's Prophet,-2.7347,59.2647,1360
Skywrath Mage,-2.8466,51.6866,919
Arc Warden,-2.9342,57.6502,366
Silencer,-2.957,46.8542,1955
Shadow Demon,-3.0672,56.5947,417
Drow Ranger,-4.1616,48.1424,1938
Techies,-4.4712,52.0547,584
Brewmaster,-4.5734,52.5362,276
Earth Spirit,-4.8057,57.7528,445
Meepo,-4.9911,54.3413,668
Visage,-7.4988,51.3108,267
