Bristleback,3.7282,55.7626,5579
Timbersaw,3.318,60.5351,2392
Witch Doctor,2.8784,56.6759,1805
Shadow Shaman,2.8168,53.1457,1955
Slardar,2.7351,55.8406,3313
Underlord,2.6693,51.2455,843
Crystal Maiden,2.4851,51.4122,5417
Outworld Devourer,2.0338,56.6876,2542
Axe,1.96,53.2789,5642
Necrophos,1.7015,48.7577,3542
Phoenix,1.5003,56.2552,1191
Shadow Demon,1.4248,61.8965,580
Dazzle,1.288,54.9197,1433
Centaur Warrunner,1.2428,50.5931,1686
Zeus,1.2118,48.0783,2758
Jakiro,1.1863,50.7174,1812
Leshrac,1.1712,60.3112,514
Death Prophet,1.1396,57.0807,1151
Enigma,1.1373,53.4842,2827
Storm Spirit,1.1345,57.0402,4872
Skywrath Mage,1.0828,56.1774,1465
Undying,1.0588,54.1747,1030
Weaver,0.838,54.4444,2700
Dark Seer,0.8168,56.6778,891
Sand King,0.78,55.666,2815
Lich,0.7379,49.6551,1305
Clockwerk,0.5908,52.0364,1866
Vengeful Spirit,0.5139,51.5243,1968
Riki,0.3072,48.9115,4502
Rubick,0.3048,58.7744,2758
Naga Siren,0.2738,61.9047,567
Ember Spirit,0.2627,56.684,3456
Chaos Knight,0.244,51.2605,1428
Beastmaster,0.2404,57.317,410
Omniknight,0.2103,49.745,2157
Lion,0.1901,57.2788,3256
Doom,0.129,60.406,985
Phantom Assassin,0.1025,49.589,6570
Tiny,0.1004,58.9693,1533
Morphling,0.0904,59.8568,1537
Pudge,0.0626,52.8192,8442
Lifestealer,0.0543,56.3918,2644
Troll Warlord,0.0392,50.552,3351
Luna,0.0067,50.5863,3667
Nyx Assassin,-0.0585,53.7298,2909
Dragon Knight,-0.064,52.0053,1496
Pugna,-0.0993,56.4006,1328
Wraith King,-0.1443,48.007,3412
Windranger,-0.1463,57.0853,3479
Ogre Magi,-0.1495,51.3178,3225
Elder Titan,-0.1514,52.6411,549
Tinker,-0.1646,56.9399,3098
Templar Assassin,-0.2184,57.1054,1907
Invoker,-0.2336,55.8531,9559
Bloodseeker,-0.282,51.0318,4119
Sven,-0.3162,48.4154,3755
Faceless Void,-0.4398,52.5961,2677
Drow Ranger,-0.4416,52.1088,2608
Spectre,-0.4434,47.1633,3208
Lycan,-0.523,52.0702,797
Queen of Pain,-0.5471,58.9588,2478
Legion Commander,-0.5594,55.0223,6272
Huskar,-0.5652,55.8125,1643
Night Stalker,-0.5773,52.2296,1637
Puck,-0.6809,60.4769,1971
Magnus,-0.7909,57.9978,2857
Warlock,-0.7946,50.8771,1710
Keeper of the Light,-0.8802,55.8364,1345
Lina,-0.8809,56.0155,3865
Treant Protector,-0.9302,51.7835,1682
Juggernaut,-0.9392,53.914,6004
Gyrocopter,-1.0207,56.3176,831
Earthshaker,-1.0235,51.5446,3593
Bane,-1.0657,58.1818,825
Winter Wyvern,-1.0976,56.0196,814
Kunkka,-1.3558,56.5948,2320
Clinkz,-1.4194,53.6215,1781
Spirit Breaker,-1.5268,46.7125,3194
Tusk,-1.6701,60.1634,979
Slark,-1.6756,55.6912,4832
Tidehunter,-1.6836,52.0356,1793
Meepo,-1.756,58.1257,843
Disruptor,-1.7653,52.2414,1673
Ursa,-1.7896,48.4492,2386
Sniper,-1.8584,51.1737,6177
Venomancer,-1.8873,47.6392,2118
Broodmother,-1.8917,62.9629,486
Mirana,-2.0275,51.6951,3333
Brewmaster,-2.3227,55.3775,437
Ancient Apparition,-2.3506,50.89,955
Anti-Mage,-2.3871,53.4466,5353
Viper,-2.4021,49.6912,2105
Earth Spirit,-2.4491,60.909,660
Abaddon,-2.6188,45.4794,1460
Razor,-2.6897,53.8734,1407
Terrorblade,-2.8847,51.9291,1581
Techies,-2.8883,54.1062,828
Monkey King,-2.8917,58.8347,2094
Nature's Prophet,-2.9346,59.6662,1738
Bounty Hunter,-3.0123,52.091,2415
Visage,-3.247,56.1904,315
Shadow Fiend,-3.3523,50.5935,5139
Medusa,-3.5493,54.1409,1618
Phantom Lancer,-3.7104,51.417,1482
Enchantress,-3.7242,56.8557,846
Oracle,-3.926,60.4316,417
Chen,-3.9386,56.4912,285
Batrider,-4.3644,56.0455,703
Alchemist,-4.5045,56.2807,1425
Io,-5.3819,63.5593,472
Lone Druid,-5.9993,57.6802,638
Arc Warden,-6.0095,55.0,500
