Anti-Mage,2.6683,54.1463,357640
Lycan,2.59,52.7427,61927
Broodmother,2.477,63.1375,51665
Chen,2.0431,60.1254,19125
Clinkz,1.9649,53.1579,203518
Spectre,1.664,44.9724,204663
Bristleback,1.6625,53.4842,325178
Ursa,1.5788,48.4633,178543
Legion Commander,1.3838,53.6881,415198
Treant Protector,1.3436,51.6028,91241
Pudge,1.3387,50.1899,647146
Bounty Hunter,1.2765,53.0278,246961
Night Stalker,1.2024,51.7779,98173
Riki,1.0716,45.9604,517262
Weaver,1.0188,50.4922,270893
Huskar,0.9897,53.9173,156753
Templar Assassin,0.9438,55.9941,135573
Monkey King,0.867,55.1699,197934
Troll Warlord,0.8231,48.5085,206543
Shadow Fiend,0.7832,53.0712,313541
Centaur Warrunner,0.7349,46.4453,113247
Nyx Assassin,0.7006,51.802,173993
Invoker,0.6137,53.03,589745
Alchemist,0.5694,56.9655,114622
Wraith King,0.5503,45.9628,217391
Nature's Prophet,0.5455,58.0375,115887
Kunkka,0.5277,52.9706,248749
Brewmaster,0.5234,51.2497,35128
Bloodseeker,0.3254,47.5653,386334
Spirit Breaker,0.2894,44.897,289600
Doom,0.2629,55.5198,71859
Drow Ranger,0.25,49.4711,215463
Keeper of the Light,0.2025,52.8664,90931
Mirana,0.186,49.9338,307817
Visage,0.1833,52.2026,32483
Storm Spirit,0.1774,52.4719,182673
Skywrath Mage,0.0371,50.3928,111488
Sand King,0.0227,51.741,214870
Tiny,0.0142,55.6564,124805
Viper,-0.0036,49.3337,231527
Timbersaw,-0.0262,54.2876,157185
Ancient Apparition,-0.032,48.3736,77598
Axe,-0.1113,47.9303,360354
Vengeful Spirit,-0.1146,47.7159,130250
Bane,-0.1259,55.5171,49183
Windranger,-0.1475,52.2574,254821
Pugna,-0.1834,52.6642,91527
Faceless Void,-0.2678,49.7631,207310
Crystal Maiden,-0.291,45.9507,249478
Elder Titan,-0.2935,48.7164,45656
Lifestealer,-0.301,53.9461,174083
Meepo,-0.3094,55.0345,75538
Death Prophet,-0.3149,53.4624,69950
Io,-0.3249,64.7438,37636
Ogre Magi,-0.3483,47.8957,201922
Shadow Demon,-0.351,55.0309,43590
Beastmaster,-0.3554,55.0586,29939
Rubick,-0.3834,54.4637,194858
Lina,-0.4061,54.3827,231853
Sven,-0.4069,45.6875,340281
Phantom Assassin,-0.4073,46.4358,506566
Shadow Shaman,-0.4379,46.4451,186282
Leshrac,-0.4462,54.1517,36045
Warlock,-0.4632,47.7736,82152
Enchantress,-0.5158,56.6095,55314
Undying,-0.5238,48.9672,64635
Omniknight,-0.5438,45.3667,115706
Lone Druid,-0.556,60.4833,41003
Slark,-0.5605,52.7011,312367
Winter Wyvern,-0.5833,51.0442,66648
Abaddon,-0.5919,45.5564,81613
Lion,-0.6006,53.1621,188905
Earthshaker,-0.6066,48.8978,332567
Tusk,-0.6377,57.8665,77950
Arc Warden,-0.6685,54.3854,46917
Medusa,-0.7157,53.8035,102943
Outworld Devourer,-0.7175,51.6461,140053
Dark Seer,-0.7175,52.5239,52081
Disruptor,-0.7264,50.0921,109574
Dazzle,-0.7335,49.4333,92565
Necrophos,-0.7396,43.0638,306234
Witch Doctor,-0.7578,49.4768,120034
Phoenix,-0.8693,50.1675,64470
Morphling,-0.9012,54.3685,93955
Silencer,-0.9361,46.1969,209516
Underlord,-0.9367,42.2489,65069
Jakiro,-0.9386,45.7144,115388
Chaos Knight,-0.9463,44.945,154689
Queen of Pain,-0.9609,55.4295,174997
Lich,-0.9889,44.9507,100341
Dragon Knight,-0.9975,49.0747,144015
Juggernaut,-1.0208,50.9215,352617
Earth Spirit,-1.0221,57.9487,51568
Batrider,-1.0488,56.7208,45426
Magnus,-1.0594,54.7984,150632
Ember Spirit,-1.075,52.6032,156956
Oracle,-1.0766,59.2103,36166
Sniper,-1.0798,48.0394,485488
Techies,-1.0893,51.6532,62302
Gyrocopter,-1.0923,53.0709,64964
Razor,-1.1602,53.2156,88987
Puck,-1.1736,56.4739,132801
Zeus,-1.2531,42.1932,194640
Clockwerk,-1.4465,48.0045,122126
Naga Siren,-1.4519,55.4411,36031
Tinker,-1.515,51.7196,193760
Luna,-1.7349,46.9242,194925
Enigma,-1.7787,47.3748,117134
Phantom Lancer,-2.2915,46.1517,134086
Terrorblade,-2.3417,49.0363,79280
Venomancer,-2.4397,45.6413,175225
Tidehunter,-2.7841,47.0372,106288
