Abaddon,4.6443,45.063,2299
Beastmaster,4.4842,54.613,672
Naga Siren,4.0131,58.9967,917
Spectre,3.7651,43.1488,5583
Underlord,3.7592,44.5267,1215
Warlock,3.0958,47.2378,2136
Drow Ranger,3.0392,47.9588,5536
Viper,2.9683,47.4836,3974
Weaver,2.9209,49.0054,4977
Sniper,2.8725,47.927,13097
Vengeful Spirit,2.7615,46.0538,3307
Bristleback,2.7231,47.0784,9909
Luna,2.5624,45.2912,5957
Ursa,2.557,44.9529,4785
Zeus,2.4014,41.138,4288
Venomancer,2.1918,43.9408,3045
Silencer,2.1645,44.3087,4832
Medusa,2.1454,52.7629,2443
Terrorblade,2.1215,49.6192,2495
Phantom Assassin,2.0739,43.464,14948
Keeper of the Light,1.9585,51.4109,1949
Bounty Hunter,1.8551,49.5807,4413
Wraith King,1.8541,41.9178,5840
Lich,1.8507,42.8871,1905
Tinker,1.8363,51.6891,5417
Mirana,1.8311,47.9306,5944
Meepo,1.7409,54.9351,1773
Templar Assassin,1.6734,51.8644,3835
Huskar,1.6233,50.8134,3688
Sven,1.6047,42.2158,7329
Lifestealer,1.5582,50.5798,4743
Troll Warlord,1.523,44.0874,6909
Alchemist,1.3628,55.4818,2864
Dragon Knight,1.3511,45.7217,2688
Skywrath Mage,1.2723,48.8539,2225
Nature's Prophet,1.2162,57.1614,3072
Jakiro,1.0696,42.6661,2543
Clinkz,0.9968,48.6348,3516
Witch Doctor,0.9815,47.061,2671
Treant Protector,0.9476,45.9952,2522
Night Stalker,0.8713,46.0061,2604
Batrider,0.8339,54.3369,1003
Elder Titan,0.8235,45.9826,809
Omniknight,0.7835,42.3333,3000
Centaur Warrunner,0.7659,42.1363,2537
Lycan,0.7423,45.6754,1399
Gyrocopter,0.662,50.753,1328
Lone Druid,0.6296,57.9335,1084
Arc Warden,0.5586,55.0321,934
Bane,0.4806,52.5295,1186
Slardar,0.3872,45.8135,5900
Shadow Demon,0.3722,53.6009,847
Ogre Magi,0.3649,43.9839,4995
Chaos Knight,0.3567,43.5357,2800
Razor,0.2182,49.4897,2352
Phantom Lancer,0.1428,47.9017,2931
Death Prophet,0.1232,48.4918,1724
Kunkka,0.1173,50.8049,3789
Enigma,0.0953,44.5326,2771
Magnus,0.0715,51.5469,4008
Invoker,0.0605,48.7058,13793
Windranger,0.0548,49.9753,6085
Juggernaut,0.0458,47.2639,11129
Legion Commander,0.0091,48.0976,12248
Enchantress,-0.0092,53.7557,1531
Shadow Fiend,-0.0333,46.1236,9674
Spirit Breaker,-0.0367,40.0536,5967
Dazzle,-0.0391,45.8408,2212
Broodmother,-0.0786,58.387,930
Undying,-0.1372,45.2054,1533
Ember Spirit,-0.1515,48.7655,4901
Pudge,-0.1642,44.9193,14575
Timbersaw,-0.2464,49.5904,4273
Nyx Assassin,-0.2479,45.8259,3941
Shadow Shaman,-0.3522,41.8521,3369
Tidehunter,-0.4583,45.6117,2313
Earth Spirit,-0.5515,56.0661,1088
Lina,-0.5544,48.9313,6129
Earthshaker,-0.59,44.1829,5226
Rubick,-0.686,50.4319,3936
Monkey King,-0.7396,54.1788,4092
Necrophos,-0.746,38.0257,5754
Axe,-0.7531,42.8225,9906
Morphling,-0.7582,51.7907,2485
Leshrac,-0.8279,51.0382,915
Crystal Maiden,-0.8295,40.1011,7910
Bloodseeker,-0.868,42.3837,10320
Techies,-0.8705,48.8808,1653
Winter Wyvern,-1.0709,48.5614,1147
Clockwerk,-1.1256,42.3836,2685
Phoenix,-1.1288,45.8039,1561
Faceless Void,-1.2102,44.0044,4520
Doom,-1.2575,51.7422,1521
Pugna,-1.3366,47.5622,1846
Queen of Pain,-1.4022,50.784,3635
Lion,-1.4548,48.1702,4864
Ancient Apparition,-1.5379,43.9583,1440
Riki,-1.7614,38.7394,8139
Visage,-1.8742,50.4488,557
Outworld Devourer,-1.9125,44.9851,4048
Brewmaster,-1.98,48.3516,728
Sand King,-2.0125,45.1543,4179
Dark Seer,-2.0427,46.069,1361
Chen,-2.1321,51.2499,480
Io,-2.2417,60.6575,882
Anti-Mage,-2.259,45.9887,9411
Disruptor,-2.3785,43.7576,2459
Tiny,-2.7987,48.7389,2934
Storm Spirit,-2.915,45.2406,5568
Puck,-2.9179,50.8336,2699
Tusk,-3.1838,51.526,1671
Oracle,-3.5404,53.9039,666
