Underlord,5.148,50.6918,1590
Necrophos,3.7878,47.159,7744
Beastmaster,3.514,58.7428,875
Death Prophet,3.4221,57.4035,2411
Jakiro,3.2766,49.7194,3208
Venomancer,3.0279,49.436,4256
Sven,2.4724,47.5352,10569
Undying,2.4198,52.886,2027
Dragon Knight,2.2026,51.4657,3923
Elder Titan,2.1961,52.3555,1125
Shadow Shaman,2.1828,49.2517,4544
Disruptor,2.148,53.6346,2655
Enigma,2.1353,51.5607,3524
Abaddon,2.0544,46.8682,2778
Silencer,2.0433,48.8262,6177
Ursa,2.0406,48.9965,6976
Luna,2.0216,49.3589,8580
Earthshaker,1.884,51.5956,7113
Troll Warlord,1.8628,49.0709,9849
Pugna,1.8226,56.1556,2518
Omniknight,1.7728,48.0368,3795
Warlock,1.6954,50.4772,2829
Zeus,1.6184,44.3261,6671
Riki,1.5854,46.3808,12710
Crystal Maiden,1.553,46.9944,10597
Vengeful Spirit,1.5049,49.3824,4615
Nyx Assassin,1.4752,52.5526,4799
Drow Ranger,1.4217,51.1208,9591
Slardar,1.3866,51.7391,7331
Ogre Magi,1.2965,49.687,6551
Leshrac,1.2237,58.7561,1222
Medusa,1.2197,57.2998,3822
Tidehunter,1.2139,52.2862,3018
Earth Spirit,1.1747,63.2458,1257
Gyrocopter,1.1585,56.6157,1897
Wraith King,1.0627,45.3098,8859
Dark Seer,1.0513,54.4512,1640
Bristleback,1.0366,50.2183,12597
Lina,0.9016,55.7078,8830
Sand King,0.8862,53.2062,5349
Razor,0.8018,55.3412,3267
Lich,0.6711,46.0815,2552
Axe,0.5817,48.8122,13218
Templar Assassin,0.5773,56.0285,5333
Dazzle,0.5142,51.3231,2872
Viper,0.4878,49.5,7000
Outworld Devourer,0.4668,52.5689,6053
Bloodseeker,0.4517,48.5107,12422
Witch Doctor,0.4087,51.3331,3563
Phantom Lancer,0.3871,53.3018,4664
Night Stalker,0.2648,50.1652,3329
Juggernaut,0.1841,52.4178,13938
Shadow Fiend,0.171,51.2313,14212
Phoenix,0.1428,52.0958,2004
Magnus,0.1317,56.8023,4866
Chaos Knight,0.0845,47.7027,4549
Clinkz,-0.0499,52.5828,5072
Faceless Void,-0.0963,50.0081,6105
Terrorblade,-0.1051,52.2225,3487
Winter Wyvern,-0.3384,54.4993,1578
Spirit Breaker,-0.355,43.5072,10789
Bane,-0.3697,57.0159,1689
Alchemist,-0.4356,59.2156,4080
Kunkka,-0.5037,55.3279,4833
Oracle,-0.5108,62.8128,839
Bounty Hunter,-0.5211,52.0978,6459
Lifestealer,-0.5787,53.4369,6372
Spectre,-0.6191,42.6789,7615
Batrider,-0.66,58.086,1348
Clockwerk,-0.7889,47.3172,3802
Shadow Demon,-0.797,57.6724,1160
Centaur Warrunner,-0.8093,44.8266,3518
Lion,-0.8992,53.8786,6626
Naga Siren,-0.9573,59.2537,1340
Io,-0.9744,68.0248,1129
Ancient Apparition,-1.0059,49.3424,1749
Ember Spirit,-1.0164,52.853,5941
Skywrath Mage,-1.0617,51.277,3093
Brewmaster,-1.0968,54.4605,964
Invoker,-1.1083,52.6914,20658
Treant Protector,-1.1212,48.5176,3137
Keeper of the Light,-1.1435,53.1021,2595
Huskar,-1.2001,53.148,6226
Mirana,-1.22,49.5893,8036
Doom,-1.2409,56.9835,1883
Puck,-1.3635,57.9917,3635
Weaver,-1.3779,49.283,7532
Windranger,-1.4688,53.6537,9237
Tinker,-1.6555,53.1982,7551
Phantom Assassin,-1.6758,44.2913,21993
Pudge,-1.7717,48.1061,21068
Chen,-1.818,56.9955,679
Monkey King,-1.8534,58.8264,6016
Visage,-1.8749,55.764,746
Morphling,-1.8796,55.8592,3183
Tiny,-1.9847,55.0439,4213
Timbersaw,-2.0525,52.7125,5198
Meepo,-2.0887,56.3369,2588
Rubick,-2.1303,53.9281,4786
Tusk,-2.1801,58.3263,2402
Lone Druid,-2.3881,60.4138,1498
Legion Commander,-2.4192,50.7239,17059
Queen of Pain,-2.569,54.8763,5055
Lycan,-2.7317,46.5203,1868
Arc Warden,-2.865,56.7901,1296
Anti-Mage,-2.8986,50.2957,12343
Slark,-3.0918,52.0729,13097
Storm Spirit,-3.1761,49.8574,7014
Techies,-3.2853,51.4196,2571
Nature's Prophet,-3.3057,58.0745,4508
Broodmother,-3.8078,60.1971,1319
Enchantress,-4.1603,54.7945,2336
