Sniper,3.1542,58.526,575040
Luna,2.7221,58.042,215313
Windranger,2.4252,61.3995,248500
Nature's Prophet,2.2171,66.438,124230
Enigma,2.1145,58.0039,119085
Mirana,2.1032,58.4695,285410
Axe,2.0752,56.6676,323091
Techies,2.0442,61.513,60753
Drow Ranger,1.7918,57.6354,209876
Riki,1.7528,53.3472,292422
Tinker,1.7412,61.7296,232049
Phantom Lancer,1.5635,56.6777,136701
Earthshaker,1.5019,57.5806,321273
Vengeful Spirit,1.4192,55.9433,130802
Lion,1.4091,61.821,186294
Clockwerk,1.3658,57.5688,126181
Shadow Shaman,1.2745,54.8089,202080
Zeus,1.1777,51.2707,207980
Silencer,1.0552,54.859,241745
Beastmaster,1.0295,63.1899,31179
Sand King,0.96,59.3748,215955
Winter Wyvern,0.893,59.2197,65159
Magnus,0.5724,63.1371,150626
Tiny,0.5677,62.8487,118432
Faceless Void,0.5647,57.2812,237404
Sven,0.5131,53.2179,329120
Puck,0.5067,64.8065,125387
Gyrocopter,0.5061,61.4168,67260
Medusa,0.4831,61.8229,116701
Crystal Maiden,0.45,53.323,247120
Chaos Knight,0.3956,52.9466,168058
Templar Assassin,0.2175,61.8716,124427
Phantom Assassin,0.1947,53.6338,546800
Outworld Devourer,0.1706,59.2425,146209
Lina,0.164,61.6046,235229
Ancient Apparition,0.1475,55.2237,85570
Naga Siren,0.1366,63.8588,40162
Legion Commander,0.1344,59.1562,426379
Skywrath Mage,0.0157,57.0297,116988
Razor,-0.0084,61.0399,85064
Weaver,-0.2482,55.903,225063
Dragon Knight,-0.2583,56.5019,121555
Disruptor,-0.2716,57.2315,112908
Nyx Assassin,-0.2771,57.5163,169258
Rubick,-0.2828,61.2068,196251
Visage,-0.2969,58.354,33002
Spirit Breaker,-0.3554,50.9077,272379
Arc Warden,-0.3839,61.3757,49865
Leshrac,-0.3903,60.9031,38287
Night Stalker,-0.422,56.7846,98495
Bane,-0.4932,61.7895,49968
Ogre Magi,-0.5092,54.4062,198479
Bloodseeker,-0.6687,53.2379,373925
Venomancer,-0.674,54.1062,204394
Troll Warlord,-0.7002,53.6344,209360
Jakiro,-0.7264,52.5975,120095
Tusk,-0.7552,64.3856,76034
Lich,-0.763,51.8279,101534
Keeper of the Light,-0.7698,58.527,90975
Kunkka,-0.7911,58.3454,259799
Centaur Warrunner,-0.8641,51.5172,110957
Shadow Fiend,-0.8682,58.1283,310451
Morphling,-0.951,61.0222,99290
Abaddon,-1.0164,51.8136,80803
Underlord,-1.0216,48.8232,69346
Queen of Pain,-1.0998,61.9464,172917
Brewmaster,-1.1276,56.1917,35539
Storm Spirit,-1.1753,57.7785,183992
Death Prophet,-1.1884,59.2437,73260
Broodmother,-1.2223,65.7909,45219
Witch Doctor,-1.2967,55.5991,127207
Lone Druid,-1.3023,66.4225,42731
Invoker,-1.3064,57.9391,541870
Clinkz,-1.3808,56.371,140840
Pugna,-1.4307,58.0824,102048
Pudge,-1.4534,54.3636,611272
Batrider,-1.4829,62.9746,47408
Tidehunter,-1.4833,55.0957,109513
Terrorblade,-1.4992,56.6129,89695
Ursa,-1.5711,51.9417,170747
Dazzle,-1.6199,55.1715,91848
Shadow Demon,-1.6546,60.3672,46126
Slardar,-1.6583,55.0275,204663
Dark Seer,-1.7068,58.1655,52311
Wraith King,-1.7295,50.359,222113
Enchantress,-1.765,61.9363,54020
Alchemist,-1.7843,61.1941,109883
Monkey King,-1.8152,59.1492,201142
Earth Spirit,-1.8731,63.7511,52523
Slark,-1.9211,58.0869,338219
Bounty Hunter,-1.926,56.4046,165958
Doom,-1.9328,60.0124,82058
Bristleback,-1.9994,56.544,262125
Elder Titan,-2.0904,53.5266,47141
Oracle,-2.095,64.7696,34879
Timbersaw,-2.1291,58.7764,138969
Viper,-2.132,53.8611,219069
Huskar,-2.6201,56.8827,143481
Treant Protector,-2.9591,53.825,81124
Warlock,-3.0125,51.8219,88393
Meepo,-3.0722,58.8072,74166
Phoenix,-3.1058,54.5449,70342
Ember Spirit,-3.3705,57.0108,172204
Omniknight,-3.5084,49.0075,117037
Io,-3.52,68.0046,36224
Necrophos,-3.6541,46.9542,346305
Anti-Mage,-3.6679,54.8163,392095
Juggernaut,-3.6876,55.0654,378279
Lycan,-3.7742,52.8123,63080
Chen,-3.8978,60.5877,19806
Undying,-5.3706,50.6239,72045
Lifestealer,-5.7029,55.1969,177863
