Clinkz,1.7229,58.771,248757
Anti-Mage,1.314,58.6812,539951
Drow Ranger,1.0491,56.0131,377165
Silencer,0.9671,53.6445,298282
Sniper,0.8145,55.5049,956346
Night Stalker,0.7079,57.0798,150843
Lycan,0.6799,56.5298,97927
Shadow Fiend,0.6289,58.7696,453615
Pugna,0.4192,59.1768,144134
Luna,0.4154,54.7212,309918
Spectre,0.408,49.0922,272379
Legion Commander,0.4027,58.6313,665999
Skywrath Mage,0.395,56.5223,180955
Ursa,0.3934,52.823,327825
Keeper of the Light,0.3676,58.9157,135984
Ancient Apparition,0.3083,54.3397,116955
Nature's Prophet,0.165,64.1988,225247
Lina,0.1497,60.9375,351872
Vengeful Spirit,0.144,53.5841,201539
Nyx Assassin,0.1063,56.9361,212069
Bloodseeker,0.0729,52.9191,727768
Bounty Hunter,0.0625,57.6375,279703
Riki,0.027,50.4401,505038
Troll Warlord,0.0256,53.3115,371983
Zeus,-0.0277,48.7196,311082
Tinker,-0.0457,59.1517,311614
Ogre Magi,-0.0556,53.816,305424
Shadow Shaman,-0.0817,52.3287,326807
Disruptor,-0.0902,56.5723,181564
Faceless Void,-0.212,55.5239,322769
Arc Warden,-0.2267,60.8646,73302
Centaur Warrunner,-0.2696,50.9189,154626
Abaddon,-0.3019,51.3735,116266
Lich,-0.3135,51.0883,168606
Phantom Assassin,-0.335,52.0381,879298
Mirana,-0.4182,55.0162,403281
Slark,-0.4303,58.7207,462089
Lifestealer,-0.4316,59.7694,249067
Axe,-0.442,53.2126,542828
Templar Assassin,-0.4688,60.5693,198356
Dragon Knight,-0.4936,55.3352,191361
Pudge,-0.5305,54.1842,999074
Crystal Maiden,-0.571,51.1466,409026
Slardar,-0.5989,55.1029,289600
Storm Spirit,-0.606,57.5008,267323
Outworld Devourer,-0.6253,57.59,208906
Gyrocopter,-0.6905,59.4431,98526
Juggernaut,-0.6921,57.0415,548123
Weaver,-0.7061,54.4705,352348
Earthshaker,-0.7117,54.4494,479632
Bane,-0.7379,61.005,82308
Sven,-0.7528,50.8159,537481
Windranger,-0.7766,57.5441,443301
Jakiro,-0.7935,51.3602,177209
Timbersaw,-0.8236,59.4353,218143
Invoker,-0.841,57.5347,852879
Death Prophet,-0.8481,58.883,112686
Warlock,-0.85,52.9701,121206
Brewmaster,-0.8901,55.5212,54381
Beastmaster,-0.8901,60.4962,45707
Dazzle,-0.9044,54.958,143635
Queen of Pain,-0.9206,61.524,256420
Alchemist,-0.9427,61.4379,163482
Lion,-0.9494,58.7976,306980
Viper,-0.9662,54.074,403813
Monkey King,-1.0016,59.3416,337950
Rubick,-1.0032,59.7952,297194
Kunkka,-1.0384,57.2393,367628
Venomancer,-1.0565,52.5916,262133
Omniknight,-1.1009,50.2476,173256
Doom,-1.1321,60.0576,108276
Terrorblade,-1.1507,56.0219,119944
Leshrac,-1.161,59.3762,56622
Witch Doctor,-1.2111,54.7305,194049
Undying,-1.219,53.9167,99433
Phoenix,-1.2707,55.5005,97781
Magnus,-1.2946,60.4977,202176
Phantom Lancer,-1.297,52.7514,244801
Bristleback,-1.3361,56.415,457449
Clockwerk,-1.3472,53.7805,188516
Lone Druid,-1.3778,65.9171,61063
Elder Titan,-1.3831,53.2067,65503
Broodmother,-1.3832,65.3848,74427
Winter Wyvern,-1.4153,55.9428,98883
Huskar,-1.4354,57.452,285678
Wraith King,-1.4641,49.3493,372416
Tiny,-1.5294,60.1494,193990
Medusa,-1.5571,58.8214,141933
Shadow Demon,-1.5623,59.787,69020
Sand King,-1.605,55.9112,309335
Batrider,-1.6103,62.2334,67377
Ember Spirit,-1.6688,57.8383,217788
Treant Protector,-1.6755,54.1869,127001
Dark Seer,-1.6893,57.3822,78472
Necrophos,-1.759,47.3608,491754
Enchantress,-1.7794,61.5414,95261
Chaos Knight,-1.843,49.431,266636
Chen,-1.871,62.208,30959
Earth Spirit,-2.0668,63.0181,76013
Puck,-2.0706,61.7461,204709
Morphling,-2.0863,59.0934,138572
Underlord,-2.1628,46.229,98025
Tidehunter,-2.2076,53.2906,144395
Razor,-2.2778,58.0446,140833
Tusk,-2.3007,62.3694,121056
Enigma,-2.3457,52.3872,176520
Naga Siren,-2.5636,60.3218,55373
Techies,-2.5689,55.9985,108142
Visage,-2.6409,55.0418,53552
Oracle,-2.6989,63.6778,51894
Io,-4.31,67.1564,59954
Meepo,-4.5212,56.591,122341
