Zeus,4.7147,45.8348,2677
Clockwerk,4.0731,49.8178,1921
Slark,3.2991,54.7593,5568
Sniper,3.1982,50.1425,7014
Tinker,2.8524,54.2632,4316
Keeper of the Light,2.7974,53.9332,1589
Bloodseeker,2.7774,48.2265,5244
Beastmaster,2.6111,54.1226,473
Doom,2.1237,56.8301,1142
Invoker,2.009,52.0549,10341
Shadow Demon,1.9455,56.7771,664
Spectre,1.8211,43.6258,3122
Faceless Void,1.6595,48.9254,2978
Venomancer,1.657,45.4545,2134
Arc Warden,1.6146,57.3825,596
Nature's Prophet,1.6015,58.7346,2118
Razor,1.5873,52.5458,1473
Pudge,1.5116,48.3597,9206
Ogre Magi,1.2926,46.9539,3365
Viper,1.2903,47.6855,2290
Morphling,1.2578,55.3111,1591
Mirana,1.209,49.1436,3620
Bounty Hunter,1.1465,50.5551,2702
Jakiro,1.1409,44.8467,1795
Tiny,1.1117,54.3288,1721
Night Stalker,1.1081,48.1693,1748
Vengeful Spirit,1.0172,46.2635,2034
Phantom Lancer,0.8794,50.4087,1835
Spirit Breaker,0.8625,43.2811,3639
Batrider,0.8091,55.7241,725
Enigma,0.7826,47.2207,1925
Magnus,0.752,53.7395,2741
Warlock,0.7201,46.6442,1490
Lifestealer,0.5114,51.1194,2680
Bristleback,0.4709,46.8961,5316
Winter Wyvern,0.4376,51.843,841
Weaver,0.3463,48.2002,2917
Wraith King,0.3406,42.6829,3608
Juggernaut,0.3248,49.356,6212
Shadow Shaman,0.3019,44.7516,2134
Witch Doctor,0.2941,48.1997,1722
Slardar,0.2723,47.6279,3731
Timbersaw,0.2264,51.6693,2456
Abaddon,0.2078,42.6172,1429
Ursa,0.1757,44.6545,2750
Drow Ranger,0.1595,46.9716,3038
Phoenix,0.1262,48.9637,1158
Rubick,0.0701,52.7593,2718
Phantom Assassin,0.0533,43.8244,7975
Luna,0.052,44.8339,3765
Enchantress,0.0174,55.1243,1005
Crystal Maiden,-0.0095,43.1898,5066
Nyx Assassin,-0.0296,47.8914,3391
Legion Commander,-0.0334,49.7877,7775
Kunkka,-0.0471,52.1825,2520
Terrorblade,-0.1694,48.9473,1520
Techies,-0.1871,51.2339,1013
Sand King,-0.2137,48.8591,2761
Monkey King,-0.2165,55.9218,2457
Axe,-0.2189,45.4423,5957
Underlord,-0.2794,42.3349,848
Tusk,-0.28,55.9077,1041
Necrophos,-0.2835,40.9689,3571
Skywrath Mage,-0.4612,48.776,1634
Elder Titan,-0.4763,46.5073,544
Earthshaker,-0.5304,46.2294,3461
Undying,-0.6945,46.5309,1081
Clinkz,-0.9166,48.4097,2138
Sven,-0.9287,42.0187,4260
Silencer,-1.0108,42.9597,4872
Chaos Knight,-1.0643,44.1573,1703
Lina,-1.0968,50.0476,4200
Troll Warlord,-1.1096,43.6501,3819
Alchemist,-1.2165,54.0672,1844
Shadow Fiend,-1.3017,46.7949,6755
Puck,-1.337,53.9403,1878
Lion,-1.3697,49.944,3574
Outworld Devourer,-1.4397,47.3684,2660
Death Prophet,-1.5082,48.4986,1099
Chen,-1.5488,53.3724,341
Broodmother,-1.5801,57.6923,546
Templar Assassin,-1.595,50.0223,2233
Brewmaster,-1.6201,50.3968,504
Windranger,-1.67,49.8609,3955
Riki,-1.6726,41.1926,5098
Lich,-1.7061,41.2977,1310
Visage,-1.7986,52.0114,348
Tidehunter,-1.9505,45.9207,1716
Huskar,-1.9881,48.7016,2041
Oracle,-1.9929,56.6985,418
Disruptor,-2.0159,46.0996,1846
Leshrac,-2.0484,51.2237,572
Naga Siren,-2.1056,53.7216,618
Queen of Pain,-2.1131,51.5781,2598
Ancient Apparition,-2.1434,45.3213,887
Meepo,-2.3278,51.9538,1126
Ember Spirit,-2.3892,48.1975,3745
Dazzle,-2.4251,45.2631,1425
Treant Protector,-2.5431,44.2791,1748
Lone Druid,-2.5805,55.5873,698
Pugna,-2.6002,47.9724,1307
Earth Spirit,-2.6176,55.1766,821
Gyrocopter,-2.6967,48.8009,834
Anti-Mage,-2.7005,47.3946,7235
Lycan,-2.7477,43.995,816
Bane,-2.7738,50.591,846
Dragon Knight,-2.8248,43.3836,1655
Omniknight,-3.1403,40.5172,1856
Io,-3.3134,60.2787,574
Centaur Warrunner,-3.3139,40.0452,1768
Dark Seer,-3.8708,45.9613,879
Medusa,-4.1231,47.763,1587
