Dark Seer,4.4978,62.2241,1133
Chaos Knight,4.032,56.8423,3851
Lycan,2.9808,57.2782,1161
Phantom Lancer,2.8369,60.2585,3636
Underlord,2.7774,52.72,1011
Meepo,2.7173,65.7521,2114
Beastmaster,2.7058,61.5942,552
Luna,1.4233,53.3811,4880
Anti-Mage,1.3921,58.7187,7633
Warlock,1.3452,54.5354,1819
Disruptor,1.2917,56.8484,1650
Ogre Magi,1.2278,54.1131,3890
Centaur Warrunner,1.1781,51.8747,2107
Witch Doctor,1.1551,56.3909,2128
Spirit Breaker,1.0975,50.5652,5484
Bloodseeker,0.9098,53.6346,6947
Chen,0.8297,63.3416,401
Earthshaker,0.8177,54.8281,4277
Nyx Assassin,0.8027,56.0185,2808
Night Stalker,0.6651,54.9904,2104
Jakiro,0.6636,51.5308,2123
Storm Spirit,0.6409,57.9812,4260
Zeus,0.502,48.5907,3406
Ember Spirit,0.4912,58.4352,3681
Puck,0.4181,63.3318,2269
Queen of Pain,0.4004,61.6168,2944
Sand King,0.3153,56.7063,3273
Slardar,0.2747,54.8956,4647
Lich,0.2691,50.4761,1680
Silencer,0.2458,51.5845,3755
Juggernaut,0.2406,56.6114,8576
Naga Siren,0.2378,63.9247,851
Brewmaster,0.197,59.7337,601
Phantom Assassin,0.1051,51.0147,11973
Faceless Void,0.0825,54.595,3482
Legion Commander,0.0648,57.2347,10263
Bounty Hunter,0.0628,56.7494,3341
Undying,-0.0472,54.4628,1210
Dazzle,-0.0831,54.9744,1759
Dragon Knight,-0.0882,53.4357,2343
Riki,-0.212,49.678,6679
Magnus,-0.2387,60.1241,3062
Vengeful Spirit,-0.2672,52.1024,2616
Abaddon,-0.2689,49.2155,1721
Lina,-0.2927,58.2046,4857
Shadow Demon,-0.3263,61.7962,746
Mirana,-0.3436,54.864,4451
Broodmother,-0.3604,67.0602,847
Crystal Maiden,-0.4416,49.8519,6078
Lifestealer,-0.5117,57.5679,4268
Ursa,-0.5239,51.0543,4505
Outworld Devourer,-0.5379,55.6306,3401
Tusk,-0.5674,63.2158,1362
Shadow Fiend,-0.6383,54.6909,7621
Necrophos,-0.64,47.6159,4677
Tidehunter,-0.6401,54.5594,1952
Spectre,-0.7064,48.1441,3664
Lone Druid,-0.7453,65.0943,848
Skywrath Mage,-0.7511,55.7768,1757
Kunkka,-0.8408,58.7701,2976
Earth Spirit,-0.8594,64.3802,831
Treant Protector,-0.8981,53.2435,2004
Death Prophet,-0.9074,56.4575,1355
Axe,-0.9134,51.9685,8407
Ancient Apparition,-0.924,53.8178,1087
Gyrocopter,-0.9275,58.0843,1138
Rubick,-0.9511,59.1748,3466
Drow Ranger,-1.1429,52.8887,4604
Shadow Shaman,-1.1688,50.3943,2536
Tinker,-1.1692,57.6203,4488
Monkey King,-1.1757,62.6726,3547
Arc Warden,-1.2394,61.8918,740
Slark,-1.2664,57.7841,7329
Clockwerk,-1.27,51.4893,2115
Bristleback,-1.2876,52.3951,7369
Pudge,-1.2924,53.0351,11449
Visage,-1.3465,59.9547,442
Pugna,-1.3958,56.5156,1435
Huskar,-1.4079,56.7681,3317
Terrorblade,-1.4921,54.9391,2217
Templar Assassin,-1.5114,57.5212,3058
Keeper of the Light,-1.5289,56.6688,1537
Razor,-1.5514,56.7884,2217
Lion,-1.5557,57.103,3949
Nature's Prophet,-1.5696,63.0716,2624
Leshrac,-1.5834,59.049,652
Timbersaw,-1.6111,57.2183,3408
Viper,-1.6706,51.8508,3539
Wraith King,-1.6986,47.6522,5303
Morphling,-1.7622,59.598,1891
Invoker,-1.7738,56.0473,11228
Tiny,-1.8051,58.8893,2503
Elder Titan,-1.8245,52.2988,696
Omniknight,-1.8776,48.8779,2629
Batrider,-1.9629,60.1941,824
Doom,-2.0096,59.8715,1246
Sniper,-2.1043,52.4647,10569
Alchemist,-2.1106,60.7039,2415
Troll Warlord,-2.1661,49.7187,6044
Enigma,-2.3272,51.2184,2380
Medusa,-2.3289,57.0574,2175
Venomancer,-2.3626,48.4505,2388
Clinkz,-2.4998,54.079,2807
Enchantress,-2.5885,59.906,1277
Weaver,-2.6333,52.4293,4034
Winter Wyvern,-2.6748,56.1347,1247
Bane,-2.7438,58.0676,1035
Techies,-3.1586,55.5477,1424
Windranger,-3.2496,55.6732,5191
Oracle,-3.341,62.9893,562
Phoenix,-4.3541,51.5007,1266
Io,-5.59,65.5072,690
