Riki,3.7451,46.223,121461
Weaver,3.1595,49.9364,80272
Bloodseeker,2.5406,47.13,161063
Bounty Hunter,2.4995,51.395,65088
Ember Spirit,2.3588,53.1383,51906
Lich,1.9628,45.5515,34866
Sven,1.828,45.4195,117531
Morphling,1.7841,54.107,33321
Spirit Breaker,1.7471,44.0014,108142
Phantom Lancer,1.7461,47.6515,56271
Necrophos,1.7182,43.1638,106105
Shadow Fiend,1.6905,51.1381,107630
Earthshaker,1.5662,48.3761,100535
Nyx Assassin,1.5522,49.9233,48913
Meepo,1.4808,53.9135,33882
Clinkz,1.258,49.6801,59873
Silencer,1.2411,45.8977,64014
Queen of Pain,1.2144,54.542,58564
Razor,1.2126,52.7087,31084
Puck,1.2038,55.7196,43333
Mirana,1.1602,48.2558,95748
Phantom Assassin,1.0162,45.3365,217006
Undying,1.0037,47.9388,22051
Slardar,0.9833,48.3459,62303
Terrorblade,0.9639,49.7035,31539
Death Prophet,0.8957,51.8304,25485
Monkey King,0.8907,52.2632,81187
Timbersaw,0.8613,52.228,48698
Outworld Devourer,0.8583,50.4518,44488
Lina,0.7802,52.6124,80232
Windranger,0.7614,50.3504,100450
Magnus,0.7576,53.6023,45276
Slark,0.7006,51.0726,109170
Ursa,0.6803,45.1259,75132
Tinker,0.661,51.0451,71709
Zeus,0.6227,41.8709,84930
Gyrocopter,0.58,51.8967,23751
Faceless Void,0.5606,47.958,73458
Troll Warlord,0.5231,45.7294,82964
Crystal Maiden,0.5104,44.3526,88678
Sniper,0.438,46.8775,202675
Axe,0.429,45.9511,113477
Drow Ranger,0.4178,47.06,91634
Sand King,0.4142,49.3931,62946
Venomancer,0.3793,45.9717,60485
Tusk,0.3646,55.7119,29062
Clockwerk,0.3637,47.2734,36365
Night Stalker,0.3038,48.194,34801
Invoker,0.2768,49.9703,202470
Dark Seer,0.274,50.7162,17872
Tidehunter,0.2715,47.5808,29308
Tiny,0.1833,52.8273,48437
Omniknight,0.1789,43.765,40329
Earth Spirit,0.1347,55.9344,17744
Legion Commander,0.0784,49.6945,159601
Shadow Shaman,0.054,44.5202,66864
Witch Doctor,0.0206,47.6455,40902
Viper,0.0186,46.7883,88289
Winter Wyvern,0.0108,48.9427,21754
Juggernaut,0.0009,49.163,127191
Pugna,-0.0229,50.0456,35024
Storm Spirit,-0.1512,49.3873,63824
Chaos Knight,-0.1524,43.3962,57187
Skywrath Mage,-0.2062,47.5195,41484
Bristleback,-0.2183,48.9179,96071
Warlock,-0.2518,45.5171,24850
Disruptor,-0.2858,47.893,32963
Elder Titan,-0.2878,46.1937,15028
Ancient Apparition,-0.3889,45.5116,26602
Dragon Knight,-0.4005,47.0844,44452
Lion,-0.5394,50.3879,63670
Phoenix,-0.5508,47.8386,21052
Kunkka,-0.5955,49.115,91027
Dazzle,-0.6289,46.94,33775
Ogre Magi,-0.856,44.9257,65793
Doom,-0.8603,51.4418,25557
Brewmaster,-0.888,47.149,13171
Jakiro,-0.9274,43.3699,37496
Alchemist,-0.9654,52.385,44612
Bane,-0.9855,51.7091,19337
Batrider,-0.9873,53.6992,15976
Shadow Demon,-1.1283,51.3157,15732
Enchantress,-1.1916,52.9203,24569
Rubick,-1.2175,50.7621,67174
Oracle,-1.2462,55.7689,12342
Enigma,-1.274,45.377,38850
Naga Siren,-1.4034,52.5178,15728
Centaur Warrunner,-1.5236,41.9019,34533
Visage,-1.7107,47.5527,12075
Treant Protector,-1.8676,45.7207,29573
Medusa,-1.9354,49.6937,34614
Leshrac,-1.9523,49.7576,14444
Io,-1.9844,59.5629,15100
Lifestealer,-2.0176,49.377,60522
Arc Warden,-2.0942,50.0544,18352
Huskar,-2.1361,48.0482,66479
Broodmother,-2.156,55.0424,19554
Pudge,-2.3129,44.5577,238383
Keeper of the Light,-2.3285,47.5609,33414
Lycan,-2.3507,45.0874,24814
Nature's Prophet,-2.6274,51.8313,60612
Wraith King,-2.7307,40.51,86860
Spectre,-2.755,38.4869,60753
Luna,-2.9159,43.33,77152
Templar Assassin,-3.116,49.0095,50837
Anti-Mage,-3.2149,45.9478,132731
Lone Druid,-4.1823,53.5513,16881
Vengeful Spirit,-4.8594,40.5947,51280
Chen,-4.9334,49.9412,8510
Abaddon,-6.5728,37.259,33675
Underlord,-7.2303,33.8197,25355
Beastmaster,-17.3369,34.9308,17569
