Chaos Knight,3.4371,49.5505,85111
Slardar,2.9619,52.9627,106288
Phantom Assassin,2.5001,49.2447,246747
Silencer,2.3076,49.5818,129021
Wraith King,2.1925,47.8487,110099
Spirit Breaker,1.8376,46.7093,144395
Windranger,1.7698,54.0622,126850
Earthshaker,1.5851,51.0752,176279
Faceless Void,1.5641,51.6222,117860
Nyx Assassin,1.5634,52.6501,85975
Skywrath Mage,1.5523,51.9661,62560
Night Stalker,1.4618,52.0622,55157
Queen of Pain,1.3903,57.5066,88635
Shadow Shaman,1.375,48.4545,106250
Legion Commander,1.3731,53.6305,198650
Storm Spirit,1.3661,53.5948,93649
Magnus,1.3045,56.9326,85090
Lion,1.2646,54.8878,95287
Spectre,1.1704,44.9042,109513
Mirana,1.1495,50.9444,135956
Centaur Warrunner,1.1465,47.1671,61776
Riki,1.1004,46.3644,134025
Crystal Maiden,1.0685,47.5326,130685
Lifestealer,1.0557,55.1363,82646
Dragon Knight,1.0403,51.2115,67147
Bounty Hunter,0.9048,52.5814,82455
Monkey King,0.8367,54.9934,100061
Rubick,0.7513,55.4062,141946
Sand King,0.7216,52.4067,112371
Phantom Lancer,0.7205,49.3335,69620
Axe,0.6974,48.8753,172905
Treant Protector,0.6923,50.9794,44004
Puck,0.6636,57.9973,64165
Pudge,0.5977,49.6587,298624
Warlock,0.584,49.0049,50699
Lina,0.556,55.1582,121204
Troll Warlord,0.5129,48.3829,104326
Invoker,0.4887,52.9062,265466
Zeus,0.3207,44.1707,108701
Vengeful Spirit,0.3089,48.3343,70993
Ogre Magi,0.302,48.7181,105509
Ember Spirit,0.2903,53.8694,86253
Sven,0.289,46.6257,162110
Weaver,0.2733,49.8644,110289
Phoenix,0.1353,51.2424,38915
Dazzle,-0.0131,50.2488,46206
Jakiro,-0.0554,46.8659,66447
Templar Assassin,-0.0906,54.7483,63096
Gyrocopter,-0.096,53.9949,37385
Disruptor,-0.1837,50.6976,61206
Batrider,-0.234,57.3077,26431
Medusa,-0.2389,54.1489,55351
Brewmaster,-0.2702,50.4821,21362
Shadow Fiend,-0.2963,52.0044,151766
Techies,-0.3039,52.4191,29308
Tiny,-0.442,54.9918,62913
Shadow Demon,-0.5397,54.6982,25233
Clockwerk,-0.5523,49.0479,69116
Earth Spirit,-0.5568,58.0945,28161
Juggernaut,-0.5962,51.331,175496
Tusk,-0.6088,57.5733,42240
Slark,-0.6141,52.5853,144833
Clinkz,-0.6339,50.5466,75827
Abaddon,-0.6559,45.8026,43801
Viper,-0.6713,48.8097,117198
Visage,-0.716,51.2841,19507
Winter Wyvern,-0.7264,50.9198,35169
Witch Doctor,-0.7881,49.5417,69178
Terrorblade,-0.7986,50.6652,44871
Keeper of the Light,-0.8121,51.7964,46843
Ancient Apparition,-0.8322,47.7265,45459
Meepo,-0.8346,54.3578,37645
Omniknight,-0.8799,45.3467,59517
Drow Ranger,-0.9626,48.4144,103527
Venomancer,-0.9782,47.3205,105637
Bristleback,-1.0271,50.8685,135807
Morphling,-1.0726,54.0437,50213
Lich,-1.083,45.1526,58176
Razor,-1.1406,53.1335,49178
Ursa,-1.2316,45.9195,95247
Anti-Mage,-1.24,50.4609,155974
Tinker,-1.3299,51.8561,89083
Doom,-1.3482,53.7437,43486
Timbersaw,-1.4146,52.7487,75179
Elder Titan,-1.5205,47.6038,28128
Bloodseeker,-1.6432,45.9559,191244
Arc Warden,-1.6635,53.2537,26708
Enigma,-1.6663,47.66,69616
Underlord,-1.6874,41.9237,38768
Naga Siren,-1.7618,54.9626,22206
Necrophos,-1.7885,42.4947,158255
Death Prophet,-1.8049,51.8869,41920
Undying,-1.8498,47.7482,39459
Enchantress,-1.9591,54.9279,30611
Sniper,-1.9783,47.3672,228111
Huskar,-1.9854,50.9128,76022
Outworld Devourer,-2.0138,50.348,73401
Dark Seer,-2.1398,51.0344,30305
Luna,-2.3669,46.5177,111280
Lycan,-2.3915,47.7269,36690
Bane,-2.625,52.8449,30510
Broodmother,-2.6704,57.3587,26465
Oracle,-2.7186,57.1549,20035
Pugna,-3.3757,49.4414,55144
Io,-3.6837,60.7677,21857
Kunkka,-4.5649,48.0792,152178
Nature's Prophet,-4.9294,52.3305,63827
Alchemist,-4.9688,51.1882,59246
Leshrac,-5.5694,48.8517,24124
Beastmaster,-6.1721,49.0199,21785
Lone Druid,-6.1876,54.3699,24451
Chen,-15.0101,42.4284,14997
