Phantom Lancer,5.8215,50.1511,110175
Terrorblade,4.4071,51.7341,62566
Winter Wyvern,4.4056,51.9422,49426
Chaos Knight,3.3613,45.1615,130000
Axe,3.1648,46.9128,265258
Underlord,2.8337,42.1326,50220
Meepo,2.569,53.7192,68575
Phantom Assassin,2.532,45.0093,420128
Shadow Demon,2.209,53.3789,33620
Dragon Knight,2.1384,48.0719,99426
Undying,2.0919,47.4852,53225
Spectre,1.8748,41.2235,138969
Brewmaster,1.7571,48.3294,28614
Omniknight,1.7115,43.6039,86162
Beastmaster,1.651,52.8733,25667
Riki,1.5927,42.528,199727
Sand King,1.548,49.0301,144658
Centaur Warrunner,1.5286,43.2136,80669
Bristleback,1.5263,49.0964,223662
Treant Protector,1.4866,47.5341,69367
Tidehunter,1.4858,47.2512,75179
Broodmother,1.4673,57.6097,40264
Dark Seer,1.4361,50.493,38738
Alchemist,1.4187,53.4845,94360
Clockwerk,1.4153,46.7624,89899
Abaddon,1.331,43.4865,58556
Troll Warlord,1.2619,44.8325,163658
Elder Titan,1.1906,46.1058,34937
Naga Siren,1.1621,53.855,30155
Venomancer,1.151,45.1309,129277
Magnus,1.0157,52.5473,110822
Nature's Prophet,0.9504,54.1167,97687
Kunkka,0.8863,49.0821,194315
Sven,0.8739,42.8671,246226
Slark,0.8638,49.8114,235241
Lycan,0.8585,46.7689,50108
Morphling,0.8074,51.8102,69907
Tusk,0.7567,54.9142,60935
Legion Commander,0.7261,48.8453,320653
Rubick,0.7209,51.2788,141768
Earth Spirit,0.6814,55.3207,39994
Invoker,0.6212,48.844,406469
Earthshaker,0.4797,45.8029,233437
Phoenix,0.4488,47.3396,48528
Wraith King,0.4373,41.8287,156653
Warlock,0.3538,44.5201,56909
Jakiro,0.3213,42.9415,83744
Shadow Shaman,0.2916,43.1085,137787
Mirana,0.2606,45.8613,200500
Viper,0.2575,45.4589,172030
Lich,0.2432,42.1661,74695
Templar Assassin,0.2301,50.949,98410
Witch Doctor,0.2105,46.3045,88378
Dazzle,0.1874,46.2195,69436
Visage,0.1791,47.9934,26189
Arc Warden,0.1544,50.9703,38234
Oracle,0.1532,56.0213,25642
Anti-Mage,0.1212,47.5479,244776
Lone Druid,0.0895,56.7403,32721
Windranger,0.0767,48.2643,193700
Sniper,0.0207,44.9357,344285
Disruptor,0.0133,46.6747,78942
Monkey King,-0.0499,49.9734,192032
Spirit Breaker,-0.0564,40.5649,218144
Enigma,-0.1096,44.9438,89456
Slardar,-0.1195,45.7123,157185
Faceless Void,-0.1831,45.7023,154364
Shadow Fiend,-0.2428,47.8698,225407
Weaver,-0.2668,45.0962,159887
Vengeful Spirit,-0.3772,43.3619,95766
Night Stalker,-0.3781,45.9797,73615
Razor,-0.4313,49.689,66407
Medusa,-0.5208,49.7112,70306
Io,-0.6604,59.9541,31439
Bounty Hunter,-0.6866,46.8221,119074
Storm Spirit,-0.6985,47.391,127121
Clinkz,-0.7158,46.2513,109599
Puck,-0.7319,52.5377,90691
Techies,-0.7738,47.7719,48698
Tiny,-0.8457,50.4724,94093
Lion,-0.8855,48.6314,138172
Tinker,-0.9241,48.0804,142796
Ember Spirit,-0.9435,48.4858,107984
Necrophos,-0.9881,38.8702,252121
Gyrocopter,-1.0023,48.9084,49423
Juggernaut,-1.0159,46.7474,245682
Ancient Apparition,-1.086,43.1728,63401
Crystal Maiden,-1.143,41.0911,179822
Ogre Magi,-1.1807,42.9827,142648
Pudge,-1.2057,43.8904,485160
Zeus,-1.2503,38.2525,140354
Luna,-1.3158,43.2509,143465
Nyx Assassin,-1.3682,45.535,108804
Doom,-1.4078,49.5267,56941
Lina,-1.4139,49.1228,168663
Keeper of the Light,-1.4427,46.948,92696
Leshrac,-1.5024,48.81,28867
Lifestealer,-1.5904,48.3785,123929
Queen of Pain,-1.6155,50.4512,121323
Drow Ranger,-1.6947,43.4445,157060
Bane,-1.8382,49.4823,38349
Batrider,-1.8427,51.5652,35169
Enchantress,-1.8849,50.9087,45393
Huskar,-1.9176,46.7903,125169
Chen,-2.1114,51.517,16348
Bloodseeker,-2.237,41.1292,289706
Ursa,-2.3688,40.4403,172825
Death Prophet,-2.5152,46.9724,52633
Skywrath Mage,-2.7768,43.3959,89248
Silencer,-2.9386,40.1811,154550
Outworld Devourer,-3.1724,44.9662,114368
Pugna,-3.5248,45.0646,75780
