Underlord,5.4123,47.0039,751
Beastmaster,5.2943,55.5,400
Enchantress,4.2188,58.0818,928
Earth Spirit,3.5465,60.1902,736
Lone Druid,3.3149,60.3603,666
Outworld Devourer,3.2468,50.7632,2555
Tidehunter,3.1719,49.8701,1540
Bloodseeker,3.1504,47.2329,4933
Gyrocopter,2.9973,53.3591,774
Vengeful Spirit,2.8796,46.7749,2155
Chen,2.8457,56.7774,391
Shadow Fiend,2.8365,49.3396,6360
Phantom Assassin,2.8152,44.9443,9158
Terrorblade,2.7028,50.5434,1472
Necrophos,2.6233,42.4876,3634
Elder Titan,2.4961,48.2828,495
Ursa,2.4804,45.5821,2920
Enigma,2.4414,47.5858,1719
Ancient Apparition,2.4097,48.7093,891
Lycan,2.3622,47.9484,853
Abaddon,2.316,43.4915,1306
Faceless Void,2.2571,48.1746,2657
Keeper of the Light,2.1482,51.8072,1328
Dazzle,1.9528,48.4311,1466
Bounty Hunter,1.9414,49.9817,2737
Io,1.8708,64.5865,641
Lion,1.8253,51.7643,3344
Drow Ranger,1.7931,47.2179,3289
Shadow Demon,1.4769,54.8589,638
Ogre Magi,1.393,45.672,3385
Witch Doctor,1.3156,47.8839,1654
Luna,1.2891,44.7036,3644
Bristleback,1.1467,46.1835,5188
Sniper,1.0913,46.8017,7551
Undying,1.0902,47.0653,903
Earthshaker,1.0257,46.4296,3235
Lich,0.9964,42.7976,1201
Morphling,0.9876,53.5966,1418
Disruptor,0.971,47.8648,1569
Troll Warlord,0.9602,44.3158,3976
Clinkz,0.9509,48.9451,2133
Jakiro,0.939,43.3033,1665
Mirana,0.9346,47.4831,3715
Nature's Prophet,0.8813,56.6319,2209
Sven,0.8509,42.3796,4488
Spirit Breaker,0.8442,41.8598,3925
Venomancer,0.8394,43.3,1903
Brewmaster,0.7231,51.4767,474
Winter Wyvern,0.6801,50.683,732
Visage,0.664,53.3492,418
Kunkka,0.6158,51.4644,2390
Centaur Warrunner,0.6094,42.7947,1603
Ember Spirit,0.609,49.8313,2964
Slardar,0.5979,46.5889,3518
Dragon Knight,0.593,45.5367,1658
Crystal Maiden,0.4881,42.3084,5025
Meepo,0.4529,53.5401,1257
Arc Warden,0.3403,54.6391,582
Lina,0.3308,50.0742,4040
Axe,0.322,44.6038,5578
Omniknight,0.3102,42.696,1862
Silencer,0.2073,43.0461,3099
Riki,0.1951,41.6418,5031
Queen of Pain,0.1893,52.5118,2329
Oracle,0.1174,57.6673,463
Magnus,0.0979,51.666,2551
Techies,0.0814,50.1427,1051
Puck,0.0674,54.0391,1993
Shadow Shaman,0.0546,43.1449,2035
Timbersaw,0.0433,50.1123,2670
Windranger,0.0113,50.1449,4140
Viper,-0.0894,44.893,2477
Monkey King,-0.1415,54.6221,2488
Tusk,-0.1746,54.6411,1045
Rubick,-0.2526,51.0463,2676
Chaos Knight,-0.3073,43.5465,1782
Razor,-0.3517,49.155,1361
Phantom Lancer,-0.3526,47.7721,1773
Zeus,-0.3674,39.2328,2972
Pugna,-0.5041,48.7786,1310
Dark Seer,-0.6223,47.9949,798
Bane,-0.7431,51.3089,764
Clockwerk,-0.8459,43.2541,2231
Templar Assassin,-0.8507,49.4112,2378
Sand King,-1.0403,46.6533,2510
Spectre,-1.0447,39.2446,3654
Doom,-1.06,51.9553,895
Skywrath Mage,-1.0844,46.7569,1403
Leshrac,-1.432,50.4708,531
Death Prophet,-1.4474,47.191,979
Lifestealer,-1.4906,47.7249,2967
Legion Commander,-1.4941,47.0678,7810
Warlock,-1.5074,43.0083,1323
Treant Protector,-1.5135,43.9975,1616
Invoker,-1.5191,47.5562,10926
Naga Siren,-1.6101,52.8301,583
Tiny,-1.7003,50.0573,1744
Nyx Assassin,-1.7982,44.684,3292
Huskar,-1.8153,47.5081,2147
Batrider,-1.8427,51.4774,643
Slark,-1.9757,48.3108,5417
Night Stalker,-2.0084,43.5714,1680
Juggernaut,-2.048,45.7388,6172
Pudge,-2.3924,43.5325,9602
Weaver,-2.44,44.016,2983
Wraith King,-2.8312,38.1715,3555
Storm Spirit,-2.8667,45.7367,4316
Phoenix,-2.8733,44.467,985
Anti-Mage,-3.0287,45.6947,5563
Alchemist,-3.1936,50.6589,1897
Medusa,-3.5628,46.9646,1499
Broodmother,-4.6789,53.0418,526
