Phantom Lancer,3.1242,46.1656,107957
Anti-Mage,2.4108,48.4047,222850
Faceless Void,2.1616,46.712,140876
Ursa,1.879,43.3951,133630
Slark,1.7755,49.388,196910
Broodmother,1.755,56.5263,36169
Troll Warlord,1.5591,43.8547,153160
Ember Spirit,1.4819,49.5945,97180
Meepo,1.4741,51.271,55858
Naga Siren,1.457,52.8438,29871
Bounty Hunter,1.3731,47.5573,117988
Nyx Assassin,1.3417,46.957,93315
Tinker,1.2919,48.9633,122314
Lone Druid,1.2916,56.6191,30359
Riki,1.286,40.9897,198530
Bloodseeker,1.2466,43.0982,276842
Elder Titan,1.2091,44.8551,31109
Chen,1.2059,53.605,14674
Earth Spirit,1.0442,54.3037,32088
Beastmaster,1.0423,50.916,23142
Arc Warden,1.0097,50.5248,33532
Pugna,0.9928,48.3371,64559
Puck,0.9576,52.8947,80023
Phantom Assassin,0.9296,42.3591,368305
Lycan,0.8566,45.4816,46544
Chaos Knight,0.8425,41.4231,116587
Timbersaw,0.841,49.5275,94093
Abaddon,0.8128,41.7059,53635
Night Stalker,0.8014,45.8926,66187
Clinkz,0.7667,46.4231,111412
Ancient Apparition,0.7012,43.7562,50747
Bane,0.6683,50.7352,36178
Monkey King,0.6445,49.3576,140493
Lina,0.5859,49.755,151044
Tusk,0.5515,53.3626,56935
Tidehunter,0.5171,45.0081,62913
Spirit Breaker,0.4754,39.8505,193990
Queen of Pain,0.4615,51.1841,109399
Storm Spirit,0.4065,47.1938,112949
Invoker,0.3633,47.3471,343182
Juggernaut,0.3597,46.7472,229295
Earthshaker,0.354,44.4287,192551
Oracle,0.2879,54.813,23343
Sven,0.275,41.067,219339
Underlord,0.2473,38.3128,41691
Kunkka,0.2423,47.1845,155430
Zeus,0.2411,38.4947,130114
Magnus,0.238,50.4455,91346
Axe,0.231,42.9131,213275
Keeper of the Light,0.2301,47.3728,57267
Nature's Prophet,0.2168,52.0355,84154
Legion Commander,0.2162,47.0998,272710
Drow Ranger,0.2106,44.0138,164303
Morphling,0.2068,49.8859,64864
Skywrath Mage,0.1687,45.0857,78619
Treant Protector,0.1238,44.8968,53124
Lich,0.1096,40.7833,68756
Dark Seer,0.1071,47.8309,34808
Sniper,0.0927,43.7396,349120
Shadow Shaman,0.0871,41.6632,123178
Leshrac,0.0634,49.1178,28737
Clockwerk,0.0345,44.1259,72497
Warlock,-0.0097,42.8874,52274
Omniknight,-0.0142,40.6353,75609
Alchemist,-0.0616,50.6517,80244
Pudge,-0.0625,43.6003,384577
Silencer,-0.0694,41.7598,127019
Doom,-0.073,49.569,50822
Centaur Warrunner,-0.0792,40.375,68047
Techies,-0.0855,47.1737,48438
Visage,-0.1336,46.3849,22738
Lion,-0.1677,48.0408,119340
Mirana,-0.2231,44.1321,175992
Terrorblade,-0.2247,45.7319,59571
Slardar,-0.2394,44.3435,124805
Death Prophet,-0.2687,47.9576,52219
Gyrocopter,-0.2963,48.324,50987
Brewmaster,-0.3006,44.9212,26404
Rubick,-0.3158,48.9604,117597
Undying,-0.3436,43.7301,46181
Windranger,-0.3595,46.551,177229
Shadow Fiend,-0.3644,46.4672,199164
Io,-0.3753,58.8196,27246
Outworld Devourer,-0.4138,46.4483,89043
Enigma,-0.4961,43.3006,77209
Luna,-0.5082,42.7776,136763
Vengeful Spirit,-0.5083,41.9651,90730
Winter Wyvern,-0.5236,45.6374,42200
Weaver,-0.5455,43.5516,152288
Disruptor,-0.612,44.7789,66404
Jakiro,-0.6553,40.732,71472
Razor,-0.6555,48.1534,64606
Shadow Demon,-0.6805,49.1008,29749
Phoenix,-0.8337,44.756,42506
Sand King,-0.8834,45.3605,124723
Dazzle,-0.8917,43.8603,61730
Ogre Magi,-0.9183,42.0039,117401
Witch Doctor,-0.9966,43.8208,80788
Dragon Knight,-1.0305,43.6174,87520
Spectre,-1.0425,37.1512,118432
Medusa,-1.0584,47.8631,69423
Enchantress,-1.1231,50.3795,45842
Templar Assassin,-1.1577,48.2458,88961
Venomancer,-1.1754,41.5863,112811
Crystal Maiden,-1.2439,39.7628,159297
Batrider,-1.261,50.8318,31797
Wraith King,-1.2839,38.9089,153777
Huskar,-1.5212,45.8837,123072
Necrophos,-1.7866,36.8977,195714
Bristleback,-2.1582,44.2968,180550
Viper,-2.2751,41.7402,161439
Lifestealer,-2.5138,46.1608,118360
