Spectre,2.7181,46.1749,81124
Storm Spirit,2.3414,54.2365,77481
Techies,1.8352,54.2774,29574
Wraith King,1.7127,47.133,89417
Legion Commander,1.535,53.469,169313
Tinker,1.5162,54.3143,81866
Mirana,1.396,50.8932,115752
Queen of Pain,1.3853,57.1605,74233
Puck,1.3412,58.3203,54391
Centaur Warrunner,1.1653,46.9525,44758
Spirit Breaker,1.1383,45.813,127001
Keeper of the Light,0.9419,53.2482,42392
Lifestealer,0.9403,54.702,70789
Night Stalker,0.8994,51.2078,45536
Ogre Magi,0.8902,49.0187,89635
Clockwerk,0.7779,50.0887,53539
Arc Warden,0.7447,55.3766,24039
Silencer,0.6462,47.7225,91814
Lion,0.5593,53.8856,80771
Morphling,0.5191,55.3093,43452
Invoker,0.4915,52.5978,228998
Windranger,0.4502,52.4924,116152
Abaddon,0.4461,46.6689,34569
Venomancer,0.3942,48.3893,81332
Skywrath Mage,0.3847,50.5199,52316
Nyx Assassin,0.375,51.1884,65423
Anti-Mage,0.3504,51.6512,142500
Nature's Prophet,0.3278,57.205,57904
Riki,0.2905,45.3689,123796
Clinkz,0.2849,51.1592,68967
Pudge,0.2809,49.1194,261764
Faceless Void,0.2803,50.1018,91763
Axe,0.266,48.1968,130801
Medusa,0.2566,54.3137,42492
Zeus,0.2189,43.8425,86302
Weaver,0.1997,49.5159,95862
Sven,0.1884,46.2704,128674
Dragon Knight,0.1656,50.0596,51966
Lycan,0.1082,49.9689,30605
Templar Assassin,0.0746,54.5931,56399
Crystal Maiden,0.0333,46.304,118331
Viper,0.0096,49.1887,98063
Tiny,0.0005,55.1031,53124
Troll Warlord,-0.0225,47.6047,92474
Enchantress,-0.122,56.4519,26860
Kunkka,-0.1281,51.9856,114145
Ancient Apparition,-0.1392,48.1537,39567
Shadow Fiend,-0.1594,51.8359,124296
Earthshaker,-0.1666,49.1582,129201
Lich,-0.1751,45.813,48532
Witch Doctor,-0.2274,49.8145,57144
Sniper,-0.2333,48.6637,191163
Ember Spirit,-0.2395,53.0326,64679
Luna,-0.2417,48.3034,86764
Shadow Demon,-0.2505,54.6672,21651
Phantom Assassin,-0.2552,46.5522,212731
Monkey King,-0.2811,53.5915,89975
Omniknight,-0.3076,45.6691,51306
Drow Ranger,-0.3266,48.7582,91886
Winter Wyvern,-0.3464,51.0097,30106
Bane,-0.3466,54.8245,26127
Vengeful Spirit,-0.3798,47.3917,60559
Sand King,-0.4513,50.9745,86298
Pugna,-0.4531,52.0534,44193
Gyrocopter,-0.4689,53.2996,31231
Doom,-0.5192,54.2474,36092
Bloodseeker,-0.5467,46.7327,175650
Huskar,-0.585,51.9891,68220
Disruptor,-0.5897,50.0068,51179
Elder Titan,-0.6306,48.2456,21490
Lina,-0.6373,53.6934,100381
Shadow Shaman,-0.6422,46.2451,87194
Magnus,-0.664,54.6532,62225
Bristleback,-0.6694,50.9161,105984
Juggernaut,-0.6991,50.9428,143561
Tidehunter,-0.7017,49.0205,44004
Razor,-0.7299,53.2239,39920
Visage,-0.7312,50.9737,16997
Rubick,-0.7769,53.622,86470
Alchemist,-0.7843,55.0201,49371
Tusk,-0.813,57.0224,36782
Io,-0.8725,63.2525,19732
Chaos Knight,-0.8949,45.057,66347
Brewmaster,-0.9119,49.5433,17627
Bounty Hunter,-0.9165,50.5116,88350
Dazzle,-0.9427,49.0414,44285
Earth Spirit,-1.0248,57.2762,24745
Enigma,-1.0261,48.0252,52033
Necrophos,-1.069,42.952,134890
Lone Druid,-1.1046,59.1536,20156
Meepo,-1.2015,53.6847,34656
Underlord,-1.2314,42.1925,30266
Slark,-1.2374,51.6928,126116
Undying,-1.2838,48.0507,32064
Warlock,-1.2974,46.8604,38747
Naga Siren,-1.3382,55.0479,18235
Timbersaw,-1.3891,52.4658,69367
Slardar,-1.4588,48.3971,91243
Jakiro,-1.5572,45.1305,55530
Outworld Devourer,-1.6036,50.4566,58912
Batrider,-1.6952,55.4799,22336
Leshrac,-1.788,52.3802,19053
Beastmaster,-1.8237,53.119,16271
Oracle,-1.8796,57.6592,17567
Phoenix,-1.9173,48.8859,32044
Ursa,-1.926,44.9983,82163
Terrorblade,-2.127,49.0469,37615
Broodmother,-2.1446,57.5472,23565
Chen,-2.3398,55.0498,10327
Dark Seer,-2.411,50.4596,25670
Phantom Lancer,-3.1719,45.2378,58787
Death Prophet,-3.2644,50.1091,32527
