Anti-Mage,2.9983,56.8659,441690
Lycan,2.7372,55.3138,80573
Lifestealer,2.1359,58.9041,211262
Huskar,2.0681,57.5512,239887
Legion Commander,1.9709,56.6395,545952
Sven,1.6548,49.9591,448797
Ursa,1.3962,50.5589,297184
Phoenix,1.3493,54.902,84638
Riki,1.3344,48.5658,357912
Weaver,1.1882,53.029,269311
Clinkz,1.1128,54.684,197842
Templar Assassin,1.0347,58.5666,158551
Juggernaut,0.9842,55.2334,432747
Faceless Void,0.9489,53.3413,257397
Medusa,0.9354,57.9425,115618
Elder Titan,0.9059,52.3206,49447
Storm Spirit,0.9018,55.592,203004
Omniknight,0.8875,49.1227,136735
Alchemist,0.8332,59.7708,140090
Spectre,0.7682,46.3656,209364
Abaddon,0.7554,49.277,87974
Silencer,0.7505,50.1854,225093
Undying,0.6858,52.5805,74014
Phantom Assassin,0.6798,49.7841,767829
Chen,0.655,61.232,23700
Wraith King,0.5238,48.2004,275149
Bloodseeker,0.5219,50.0709,528999
Terrorblade,0.4502,54.3251,100077
Doom,0.3629,58.0928,85489
Warlock,0.3214,50.9181,91759
Dazzle,0.2742,52.8339,111928
Monkey King,0.2591,57.046,258698
Vengeful Spirit,0.2147,50.3743,150249
Ember Spirit,0.2129,56.3034,167947
Phantom Lancer,0.1492,50.9412,185064
Dragon Knight,0.1439,52.6139,145277
Underlord,0.0536,45.5556,71124
Kunkka,0.0401,54.8729,270235
Disruptor,0.0345,53.2357,121965
Meepo,0.0304,57.8668,95858
Chaos Knight,-0.0011,48.1526,203098
Shadow Fiend,-0.0765,54.6343,355247
Morphling,-0.1214,57.6637,115492
Beastmaster,-0.157,57.7517,36650
Zeus,-0.1695,45.5135,223505
Treant Protector,-0.17,52.3952,92474
Spirit Breaker,-0.182,46.6877,371988
Dark Seer,-0.188,55.5038,61621
Ancient Apparition,-0.2082,50.5149,89906
Drow Ranger,-0.2265,51.3472,282660
Nyx Assassin,-0.2274,53.2088,160729
Brewmaster,-0.248,52.8271,43578
Invoker,-0.27,54.6367,644475
Sniper,-0.3349,51.0654,628677
Broodmother,-0.3595,62.7531,60244
Night Stalker,-0.3678,52.5373,116028
Death Prophet,-0.3698,55.8588,86527
Viper,-0.4695,51.2258,308926
Puck,-0.5541,59.5273,139682
Tidehunter,-0.6214,51.617,104326
Lone Druid,-0.6595,62.9969,50077
Arc Warden,-0.7289,56.8097,59018
Queen of Pain,-0.7569,58.0703,191628
Magnus,-0.774,57.5003,159173
Keeper of the Light,-0.7882,54.2251,99784
Leshrac,-0.795,56.2539,44708
Witch Doctor,-0.804,51.7848,143040
Naga Siren,-0.8076,58.6642,45953
Rubick,-0.8357,56.4026,207813
Jakiro,-0.8442,48.1061,131006
Visage,-0.8487,53.5441,42408
Slardar,-0.8489,51.4914,206545
Bounty Hunter,-0.8748,53.1995,200936
Lich,-0.8761,47.3129,127982
Oracle,-0.8798,61.9882,42913
Luna,-0.8908,50.0896,241012
Techies,-0.9215,54.2705,82964
Shadow Demon,-0.9324,56.8844,52190
Enigma,-0.9501,50.5538,142371
Earth Spirit,-0.9511,60.4699,56304
Tusk,-0.9597,60.0321,89617
Bristleback,-0.9611,53.3178,338106
Skywrath Mage,-0.9963,51.6961,138374
Shadow Shaman,-1.038,48.1273,231143
Lion,-1.0537,55.11,211682
Ogre Magi,-1.058,49.5058,212381
Pudge,-1.0709,50.3936,709723
Io,-1.072,66.6979,46862
Centaur Warrunner,-1.0922,46.8914,114765
Enchantress,-1.0929,58.6432,77025
Nature's Prophet,-1.1026,58.8931,146489
Gyrocopter,-1.1593,55.4615,80297
Necrophos,-1.1972,44.8519,362849
Earthshaker,-1.2065,50.6366,335449
Mirana,-1.2421,50.8703,298968
Clockwerk,-1.2803,50.5136,131321
Razor,-1.5039,55.3763,118881
Timbersaw,-1.5148,55.1674,163658
Outworld Devourer,-1.5193,53.216,158907
Venomancer,-1.5362,48.8554,197587
Tinker,-1.7607,53.8707,223533
Bane,-1.7768,56.3086,63571
Pugna,-1.7914,53.4179,112670
Slark,-1.7928,53.9248,375337
Lina,-1.8574,55.3721,268066
Windranger,-1.8643,52.9864,334044
Sand King,-1.9361,52.1355,217115
Tiny,-1.9423,56.1448,153161
Winter Wyvern,-2.1295,51.8307,84421
Crystal Maiden,-2.1548,46.3872,294762
Axe,-2.5105,47.9354,408362
Batrider,-3.5837,56.5608,53751
