Arc Warden,1.5654,48.3691,22872
Invoker,1.5115,45.7095,220324
Slark,1.2769,46.259,121267
Meepo,1.2346,48.314,33868
Brewmaster,1.0782,43.7199,17914
Nyx Assassin,1.0695,44.0586,64228
Earth Spirit,1.0561,51.5378,24613
Abaddon,1.0424,39.4357,35762
Keeper of the Light,1.0045,45.4925,39934
Bane,0.9853,48.3276,24576
Ancient Apparition,0.9651,41.4507,35512
Drow Ranger,0.9611,42.1887,96367
Ember Spirit,0.9367,46.3768,63053
Skywrath Mage,0.9054,43.2242,50858
Kunkka,0.8815,45.1264,112269
Treant Protector,0.802,42.9775,36782
Windranger,0.777,45.0073,108309
Spirit Breaker,0.726,37.631,121057
Lina,0.721,47.1875,96553
Clinkz,0.7158,43.7731,65739
Tinker,0.7131,45.7355,78381
Oracle,0.6895,52.4119,16418
Visage,0.6709,44.5647,16071
Shadow Demon,0.6638,47.7604,21254
Bloodseeker,0.5991,39.9818,161263
Nature's Prophet,0.5272,49.5751,55078
Pugna,0.5248,45.2122,42024
Tidehunter,0.5247,42.4256,42241
Broodmother,0.4624,52.3389,23237
Phantom Assassin,0.4607,39.4143,210048
Bounty Hunter,0.4584,44.0409,71899
Night Stalker,0.4239,42.9069,44776
Underlord,0.408,36.0335,28504
Rubick,0.3982,46.9571,81602
Shadow Fiend,0.3648,44.5321,122480
Pudge,0.3391,41.3881,251763
Clockwerk,0.3378,41.8389,52083
Lone Druid,0.3222,52.7591,20133
Lycan,0.2999,42.3267,30945
Legion Commander,0.2916,44.5423,169001
Vengeful Spirit,0.2856,40.2283,59560
Crystal Maiden,0.2528,38.7076,106909
Silencer,0.2119,39.5135,82602
Death Prophet,0.2014,45.7601,32607
Disruptor,0.1833,42.9604,47567
Ogre Magi,0.1728,40.5245,80028
Razor,0.1563,46.2798,41221
Zeus,0.1454,35.9793,80071
Troll Warlord,0.1403,39.9678,89617
Elder Titan,0.1386,41.1884,21523
Slardar,0.1328,42.1334,77950
Winter Wyvern,0.1028,43.6466,29150
Gyrocopter,0.0998,46.0319,33266
Monkey King,0.0965,46.14,89664
Lich,0.0604,38.2411,46042
Mirana,0.0422,41.8098,116207
Earthshaker,0.0167,41.5364,129609
Medusa,0.0155,46.2562,43419
Doom,0.0144,46.9485,33492
Shadow Shaman,-0.0253,39.0448,79652
Warlock,-0.0405,40.3085,35325
Bristleback,-0.0438,43.7162,105796
Wraith King,-0.0534,37.6457,89556
Centaur Warrunner,-0.0556,37.9225,44844
Ursa,-0.0792,38.9885,80975
Lifestealer,-0.0829,45.8895,69774
Dazzle,-0.0889,42.0813,41194
Beastmaster,-0.1084,47.0127,16453
Spectre,-0.1379,35.6143,76034
Omniknight,-0.139,38.0327,48637
Morphling,-0.16,46.8087,42272
Alchemist,-0.1651,47.811,50162
Lion,-0.1758,45.3648,78929
Venomancer,-0.1801,40.0282,75619
Sniper,-0.2002,40.9242,199173
Jakiro,-0.2096,38.6581,50318
Leshrac,-0.2338,46.1121,19394
Queen of Pain,-0.234,47.7687,72629
Witch Doctor,-0.2982,41.9347,53340
Magnus,-0.3052,47.1866,62062
Techies,-0.3291,44.2899,29063
Puck,-0.3596,48.8243,55415
Faceless Void,-0.3658,41.6789,89856
Chen,-0.3807,49.2036,10109
Storm Spirit,-0.4376,43.7351,73936
Io,-0.4405,55.832,19007
Juggernaut,-0.4506,43.3756,144890
Luna,-0.4786,40.2714,86123
Undying,-0.4788,41.0263,31119
Batrider,-0.4831,48.8676,22387
Enchantress,-0.5298,48.217,28100
Dark Seer,-0.5489,44.5049,24222
Phoenix,-0.5602,42.4254,29619
Anti-Mage,-0.5839,42.9977,139719
Templar Assassin,-0.6085,46.1037,55477
Weaver,-0.6287,40.9193,93931
Terrorblade,-0.6288,42.7201,37741
Sand King,-0.6293,42.9912,84494
Necrophos,-0.6463,35.5474,124774
Tiny,-0.6477,46.6373,56935
Viper,-0.6645,40.7485,97525
Outworld Devourer,-0.673,43.5657,56829
Enigma,-0.7511,40.4891,51641
Sven,-0.7573,37.6099,128099
Naga Siren,-0.7812,47.7788,19134
Riki,-0.7839,36.5666,116114
Axe,-0.8003,39.4176,129551
Dragon Knight,-0.9204,41.1712,53394
Timbersaw,-0.9393,45.085,60936
Huskar,-1.1689,43.6117,69949
Chaos Knight,-1.2574,36.9129,65324
Phantom Lancer,-1.4013,39.1799,61432
