Techies,7.277,66.1802,25355
Ancient Apparition,4.811,59.6006,36060
Lion,3.7833,63.4403,66494
Chaos Knight,3.304,55.6666,56718
Spirit Breaker,2.6738,53.7708,98027
Visage,2.299,60.5259,13918
Meepo,2.1486,63.4477,26034
Crystal Maiden,1.965,54.6425,89099
Tidehunter,1.8701,58.0773,38769
Riki,1.7985,53.29,92978
Dragon Knight,1.7789,58.134,41855
Puck,1.7378,65.1214,43187
Wraith King,1.6921,53.6191,69712
Sand King,1.6322,59.4548,72793
Slardar,1.5155,57.751,65069
Storm Spirit,1.3546,59.7353,62273
Treant Protector,1.316,57.8074,30266
Templar Assassin,1.2785,62.2144,43162
Weaver,1.1557,56.916,74905
Shadow Demon,1.1167,62.4957,17590
Spectre,1.1154,51.1767,69346
Rubick,1.0804,61.8493,70675
Mirana,1.0648,57.0577,90177
Phantom Lancer,1.0544,55.8747,46921
Night Stalker,1.0087,57.8094,37224
Brewmaster,0.9885,57.9672,14296
Razor,0.96,61.3634,32754
Winter Wyvern,0.946,58.7801,24151
Centaur Warrunner,0.9212,53.2446,38556
Terrorblade,0.844,58.4962,30590
Ogre Magi,0.814,55.442,65775
Beastmaster,0.773,62.2153,13217
Axe,0.7584,55.1478,105830
Medusa,0.7499,61.2557,35595
Morphling,0.6965,61.9242,33801
Omniknight,0.6796,53.1705,39063
Phantom Assassin,0.6693,53.8328,157441
Warlock,0.6215,55.2956,31724
Abaddon,0.5968,53.3515,29330
Luna,0.5564,55.5715,70025
Legion Commander,0.5461,59.0219,129262
Vengeful Spirit,0.4634,54.7351,47211
Naga Siren,0.41,63.2525,14567
Shadow Shaman,0.3817,53.7535,70719
Silencer,0.3504,53.9558,76444
Troll Warlord,0.336,54.4443,71124
Clockwerk,0.3207,56.1459,47218
Bane,0.2928,61.9006,19457
Earthshaker,0.2775,56.064,109828
Faceless Void,0.2494,56.5588,76073
Nyx Assassin,0.2135,57.5184,57705
Queen of Pain,0.1925,62.4264,58983
Tiny,0.1509,61.6871,41691
Undying,0.1186,55.9779,26723
Slark,0.1161,59.418,93815
Disruptor,0.1107,57.1922,41955
Venomancer,-0.002,54.5365,73580
Jakiro,-0.1002,53.1042,44149
Phoenix,-0.1569,57.1547,26318
Windranger,-0.1612,58.3742,85452
Dazzle,-0.1646,56.2984,31889
Lycan,-0.2385,56.1253,24823
Sven,-0.2712,52.3466,102125
Tusk,-0.2819,63.9664,28504
Ember Spirit,-0.5497,59.1953,57442
Keeper of the Light,-0.5752,58.2033,32127
Gyrocopter,-0.6815,59.551,25034
Arc Warden,-0.6853,60.3842,18687
Earth Spirit,-0.7536,63.9651,19495
Shadow Fiend,-0.8072,57.687,98620
Broodmother,-0.8143,65.2931,18662
Zeus,-0.8157,49.3955,69239
Viper,-0.8284,54.8718,76316
Kunkka,-0.8321,57.7899,92407
Necrophos,-0.8539,49.6977,107206
Io,-0.8693,69.5992,15220
Elder Titan,-0.9393,54.459,18412
Oracle,-0.9484,65.0043,13736
Dark Seer,-0.9581,58.4065,20710
Doom,-1.041,60.1904,29935
Nature's Prophet,-1.0705,62.2441,42351
Bounty Hunter,-1.0784,56.8207,56416
Lina,-1.0874,59.7093,81468
Magnus,-1.167,60.6041,51117
Batrider,-1.1932,62.4197,17754
Invoker,-1.2092,57.5695,168405
Lich,-1.2266,51.3089,38541
Bristleback,-1.2468,56.8311,83697
Monkey King,-1.3032,59.0571,68984
Skywrath Mage,-1.4767,55.1747,42050
Lifestealer,-1.4962,58.7766,54964
Lone Druid,-1.5509,65.1021,15915
Bloodseeker,-1.5947,52.2554,129552
Outworld Devourer,-1.6281,56.9103,48239
Witch Doctor,-1.765,54.7976,44980
Alchemist,-1.8549,60.3943,37631
Enigma,-1.9052,53.6597,41137
Death Prophet,-2.0343,57.815,26481
Clinkz,-2.1563,55.2495,50842
Drow Ranger,-2.2657,53.3774,68602
Pudge,-2.2858,53.3979,198356
Pugna,-2.316,56.6834,36224
Timbersaw,-2.4677,57.8673,50220
Enchantress,-2.4772,60.5177,20860
Leshrac,-2.5005,58.134,15263
Juggernaut,-2.5026,55.7352,110894
Tinker,-2.5161,56.86,58046
Chen,-2.632,61.21,8644
Anti-Mage,-2.7515,55.2269,104344
Ursa,-3.206,50.2954,67181
Huskar,-3.6777,55.4327,51742
Sniper,-4.9671,50.8808,143669
