Underlord,3.2287,49.7045,67181
Ember Spirit,2.0715,58.9067,150217
Timbersaw,1.9947,59.5596,172825
Pudge,1.93,53.8203,623602
Treant Protector,1.6013,55.0016,82163
Spectre,1.5756,48.0585,170748
Lifestealer,1.5592,59.017,191614
Juggernaut,1.5454,56.5008,383929
Zeus,1.3417,47.9054,190569
Phoenix,1.1987,55.4594,68010
Anti-Mage,1.1925,55.8634,342605
Shadow Fiend,1.1613,56.5615,300089
Legion Commander,1.1428,56.5875,458491
Kunkka,1.0409,56.5897,233014
Warlock,1.0221,52.4402,80257
Tidehunter,1.0117,54.0809,95248
Morphling,0.9694,59.4604,99350
Huskar,0.9555,57.1523,223718
Axe,0.935,52.0708,376180
Abaddon,0.9196,50.2722,79720
Meepo,0.9131,59.4776,85617
Omniknight,0.9082,49.9769,123681
Chen,0.8295,62.0894,21403
Elder Titan,0.769,52.9616,44164
Clinkz,0.7638,55.076,173362
Lycan,0.707,53.9477,70305
Alchemist,0.697,60.3501,133075
Nyx Assassin,0.6086,54.8027,134351
Silencer,0.5718,50.8151,185496
Bloodseeker,0.4574,50.8458,492087
Keeper of the Light,0.4525,56.2439,88454
Disruptor,0.4508,54.4206,106206
Pugna,0.3823,56.3997,100004
Storm Spirit,0.365,55.7749,172461
Centaur Warrunner,0.3534,49.226,103114
Bounty Hunter,0.3515,55.1838,173375
Clockwerk,0.2889,52.9072,113905
Rubick,0.2293,58.1607,175467
Earth Spirit,0.1615,62.255,48531
Medusa,0.1449,57.8064,98553
Necrophos,0.1369,47.026,320884
Ancient Apparition,0.0827,51.6136,78301
Puck,0.0157,60.7403,117380
Dazzle,0.0102,53.3356,99935
Magnus,-0.0366,58.9151,134115
Sven,-0.037,49.1755,367054
Vengeful Spirit,-0.0414,50.9218,133426
Leshrac,-0.1595,57.6469,40526
Witch Doctor,-0.1608,53.2157,123407
Invoker,-0.1809,55.4499,547018
Arc Warden,-0.2224,58.0283,51206
Monkey King,-0.3152,57.1746,228853
Skywrath Mage,-0.3523,53.1294,119604
Terrorblade,-0.3601,54.2397,89462
Dragon Knight,-0.3604,52.8795,133388
Jakiro,-0.3752,49.4201,113903
Faceless Void,-0.3873,52.7744,217918
Luna,-0.4132,51.3679,202607
Enigma,-0.4149,51.8971,123448
Night Stalker,-0.4189,53.252,100321
Undying,-0.4612,52.171,67271
Mirana,-0.4619,52.4122,249434
Phantom Assassin,-0.4859,49.5202,576526
Doom,-0.5005,57.8751,73643
Queen of Pain,-0.5132,58.9806,163445
Winter Wyvern,-0.5136,54.2804,74397
Tinker,-0.5154,55.8456,191902
Spirit Breaker,-0.5827,47.177,327827
Dark Seer,-0.6084,55.7762,52603
Tusk,-0.6638,61.0114,80975
Enchantress,-0.6698,59.8188,73104
Lich,-0.6871,48.3631,110609
Crystal Maiden,-0.6937,48.6742,251564
Earthshaker,-0.731,51.8765,278118
Oracle,-0.7575,62.7922,39610
Beastmaster,-0.782,57.8024,32900
Bane,-0.7823,58.0828,58909
Wraith King,-0.812,47.7295,239975
Brewmaster,-0.8885,52.9271,39099
Ogre Magi,-0.9125,50.4589,182255
Death Prophet,-0.9317,55.9993,77017
Io,-0.9919,67.3328,41482
Lina,-1.0043,56.9137,226571
Viper,-1.0221,51.4866,287395
Techies,-1.0626,54.874,75132
Visage,-1.124,54.0001,36674
Riki,-1.2375,46.9227,307175
Gyrocopter,-1.256,56.09,72266
Shadow Shaman,-1.3811,48.6203,195089
Slark,-1.3859,55.0475,324256
Troll Warlord,-1.4094,49.441,297184
Templar Assassin,-1.4605,56.6981,138576
Drow Ranger,-1.4756,50.903,247380
Batrider,-1.5048,59.4335,48439
Slardar,-1.581,51.5366,178543
Sniper,-1.6009,50.6984,523697
Lion,-1.6319,55.2608,188875
Shadow Demon,-1.6621,56.8593,48576
Weaver,-1.6817,50.9607,238513
Sand King,-1.7161,53.1116,185221
Razor,-1.9262,55.6797,110013
Outworld Devourer,-1.9604,53.5266,143663
Lone Druid,-2.0548,62.1525,44579
Broodmother,-2.0712,61.6074,54844
Bristleback,-2.0923,52.9909,321257
Naga Siren,-2.1166,57.9853,41626
Tiny,-2.1691,56.6047,133632
Nature's Prophet,-2.1712,58.4514,126327
Venomancer,-2.4635,48.7412,177119
Chaos Knight,-2.6325,46.344,181579
Windranger,-2.6417,52.968,284290
Phantom Lancer,-3.8234,47.7165,171257
