Ancient Apparition,17.9586,70.907,904
Techies,14.5172,71.058,964
Lion,7.2982,62.975,2447
Rubick,6.7012,63.7922,2041
Visage,6.1301,64.794,267
Crystal Maiden,4.2657,52.1141,3784
Beastmaster,4.051,60.0649,308
Broodmother,4.0026,67.7581,397
Lich,2.9661,50.989,910
Oracle,2.5795,65.8227,316
Dark Seer,2.4454,57.1186,590
Chen,2.0464,61.5044,226
Treant Protector,1.8414,53.5171,1052
Alchemist,1.7029,61.3837,1243
Kunkka,1.6884,58.3762,1552
Clinkz,1.5971,55.5555,1476
Night Stalker,1.5162,53.2859,1126
Earthshaker,1.4954,52.9465,2206
Razor,1.4186,56.8844,995
Enigma,1.3983,52.5855,1257
Death Prophet,1.0655,55.751,739
Batrider,0.9607,60.3508,570
Underlord,0.8887,48.4629,553
Venomancer,0.7836,49.4287,1313
Dazzle,0.7417,53.2188,932
Meepo,0.6888,59.4135,648
Spirit Breaker,0.6826,47.9831,2380
Timbersaw,0.633,56.5781,1695
Abaddon,0.6,47.9209,962
Luna,0.4588,50.0418,2392
Slardar,0.4102,52.4518,2284
Huskar,0.4011,55.6678,1385
Centaur Warrunner,0.4011,48.7889,1156
Lone Druid,0.3935,63.0,500
Zeus,0.3181,46.3471,1711
Shadow Shaman,0.218,49.5101,1327
Tiny,0.1794,57.8352,1238
Shadow Fiend,0.1661,52.848,3599
Lina,0.1572,55.7939,2563
Leshrac,0.1196,57.9852,407
Clockwerk,0.1181,50.5263,1235
Jakiro,0.104,48.6702,1128
Sven,0.0743,47.8792,2617
Bounty Hunter,0.0514,54.0401,1745
Anti-Mage,0.0381,54.5735,3236
Io,-0.0008,67.8304,401
Bane,-0.0429,57.8947,551
Witch Doctor,-0.0464,52.5261,1148
Mirana,-0.082,52.5286,2353
Dragon Knight,-0.1928,50.8429,1127
Pugna,-0.2164,54.9936,791
Ursa,-0.2868,48.9896,1831
Queen of Pain,-0.2991,57.8006,1455
Viper,-0.3699,50.7185,1670
Lifestealer,-0.3789,54.777,1884
Invoker,-0.4134,54.5112,5054
Phantom Assassin,-0.572,48.0784,4892
Bristleback,-0.577,50.626,3514
Silencer,-0.5983,48.4509,1969
Winter Wyvern,-0.6094,55.2727,550
Weaver,-0.6142,51.9151,1932
Doom,-0.6338,58.2317,656
Sand King,-0.7275,52.9691,1684
Pudge,-0.7642,51.0274,5499
Gyrocopter,-0.8185,55.3353,656
Storm Spirit,-0.8427,53.7364,2034
Riki,-0.8949,46.8545,3052
Medusa,-0.8986,55.6169,1086
Brewmaster,-0.9334,55.6786,361
Nyx Assassin,-0.9778,51.6605,1626
Morphling,-1.0198,57.3558,1006
Faceless Void,-1.0208,50.9586,1982
Ogre Magi,-1.0234,49.4586,2309
Spectre,-1.0474,45.736,1970
Wraith King,-1.1004,46.1913,2258
Elder Titan,-1.102,50.5882,425
Shadow Demon,-1.1315,57.8406,389
Monkey King,-1.1661,59.2988,1683
Drow Ranger,-1.208,50.3355,2086
Puck,-1.2853,58.2947,1079
Sniper,-1.3795,50.6065,4616
Lycan,-1.4436,50.0813,615
Tidehunter,-1.4999,51.123,1113
Omniknight,-1.5101,47.0925,1221
Templar Assassin,-1.7528,54.4048,1487
Legion Commander,-1.7832,52.772,4383
Troll Warlord,-1.811,47.7987,2544
Bloodseeker,-1.8174,48.5704,2833
Keeper of the Light,-1.8889,53.5714,868
Ember Spirit,-1.9355,53.2374,1946
Skywrath Mage,-1.9395,51.9067,944
Terrorblade,-2.0079,51.7068,996
Juggernaut,-2.0315,51.7725,3921
Disruptor,-2.0613,50.8292,1025
Windranger,-2.0773,53.9966,2402
Axe,-2.0787,48.4698,3627
Magnus,-2.0884,55.2941,1530
Nature's Prophet,-2.1029,59.182,1296
Slark,-2.2488,53.96,3308
Enchantress,-2.2984,57.0987,648
Earth Spirit,-2.3638,59.6273,483
Outworld Devourer,-2.4918,50.9866,1571
Tinker,-2.7249,53.225,2155
Tusk,-2.7425,57.7806,784
Undying,-2.8688,49.0427,679
Necrophos,-2.9419,43.3611,2154
Phantom Lancer,-3.2175,50.8605,1162
Chaos Knight,-3.542,46.448,1098
Arc Warden,-3.6156,56.351,433
Warlock,-3.9805,46.6315,950
Phoenix,-4.2284,49.1501,706
Naga Siren,-7.1893,52.8708,418
