Visage,5.4738,65.2968,219
Razor,5.1235,61.9587,970
Outworld Devourer,4.6164,59.3665,1484
Axe,3.1079,54.6318,3681
Templar Assassin,2.9725,60.4534,1588
Dark Seer,2.9045,58.9254,577
Meepo,2.8217,62.8762,598
Ember Spirit,2.767,59.1906,2051
Naga Siren,2.5617,64.2857,434
Sven,2.4957,51.5494,2388
Doom,2.3879,62.7118,708
Centaur Warrunner,2.3668,52.1212,1155
Jakiro,2.2734,52.2116,1153
Silencer,2.0313,52.3831,2119
Lone Druid,1.8812,65.7596,441
Sand King,1.6968,56.718,1816
Omniknight,1.6385,51.6102,1211
Abaddon,1.5646,50.2512,995
Disruptor,1.4765,55.7465,931
Treant Protector,1.4063,54.423,1040
Slardar,1.4026,54.7519,2157
Puck,1.2494,62.1698,1060
Weaver,1.2027,55.0312,1759
Shadow Shaman,1.1921,51.8373,1279
Ursa,1.1651,51.7679,1810
Enigma,1.1552,53.6804,1114
Tiny,1.1373,60.0756,1057
Night Stalker,1.0467,54.1549,1071
Spectre,0.9797,49.0943,2098
Pugna,0.9765,57.5826,877
Lion,0.9688,58.0851,1880
Wraith King,0.8933,49.484,2132
Bristleback,0.8809,53.3272,3261
Lich,0.5446,49.8863,880
Chaos Knight,0.5327,51.8819,983
Riki,0.5067,49.5403,2937
Clockwerk,0.4846,52.2508,1244
Warlock,0.4727,52.5,1040
Tusk,0.4662,62.3188,690
Tidehunter,0.4107,54.405,1101
Death Prophet,0.2757,56.3131,792
Necrophos,0.2734,47.8616,2198
Ogre Magi,0.187,51.9839,1991
Winter Wyvern,0.1839,57.4,500
Bounty Hunter,0.1471,55.4719,1727
Elder Titan,0.1286,53.2219,419
Spirit Breaker,0.1151,48.7882,2187
Nyx Assassin,0.097,54.0822,1727
Timbersaw,0.0841,57.3472,1538
Mirana,0.0792,54.0203,2164
Underlord,0.0706,48.969,582
Nature's Prophet,0.017,62.5941,1195
Crystal Maiden,0.0168,49.4723,3127
Shadow Demon,-0.0625,60.2272,352
Lifestealer,-0.1033,56.3668,1712
Zeus,-0.1045,47.2949,1719
Earth Spirit,-0.1332,63.2158,454
Bane,-0.1459,59.0909,506
Earthshaker,-0.1695,52.6603,2011
Phantom Lancer,-0.199,55.2141,1074
Dragon Knight,-0.3019,52.0793,1058
Luna,-0.3997,50.5637,2306
Kunkka,-0.404,57.6335,1572
Io,-0.4192,68.5714,350
Faceless Void,-0.5062,52.7976,1680
Tinker,-0.5078,56.6999,1903
Batrider,-0.5915,59.9571,467
Monkey King,-0.6074,61.1188,1430
Invoker,-0.6094,55.6603,4664
Phantom Assassin,-0.6242,49.3599,4453
Dazzle,-0.6486,53.1468,858
Troll Warlord,-0.7481,50.1588,2203
Keeper of the Light,-0.7702,56.0344,812
Vengeful Spirit,-0.781,50.5712,1313
Juggernaut,-0.812,54.2274,3631
Legion Commander,-0.8268,54.9644,4079
Shadow Fiend,-0.8599,53.2322,3496
Witch Doctor,-0.9774,52.9242,1043
Bloodseeker,-1.0378,50.6542,2675
Broodmother,-1.0854,63.882,407
Gyrocopter,-1.1561,56.3025,595
Medusa,-1.279,56.574,1080
Storm Spirit,-1.3729,54.5667,2135
Slark,-1.4037,56.0735,3046
Queen of Pain,-1.4371,57.9856,1390
Skywrath Mage,-1.4768,53.7234,940
Magnus,-1.4945,57.225,1564
Morphling,-1.5382,58.1653,992
Rubick,-1.5809,56.8965,1682
Windranger,-1.6168,55.7683,2297
Lina,-1.8641,55.1765,2492
Terrorblade,-1.996,53.0546,933
Chen,-2.0082,58.6363,220
Clinkz,-2.0637,53.2195,1289
Viper,-2.0828,50.3745,1602
Alchemist,-2.0866,58.8454,1074
Pudge,-2.183,51.1499,5435
Phoenix,-2.3209,52.4675,770
Leshrac,-2.5753,56.4705,340
Brewmaster,-2.7537,55.0819,305
Beastmaster,-2.7657,54.3554,287
Drow Ranger,-2.8545,50.0555,1800
Sniper,-2.9021,50.5639,4256
Oracle,-3.203,61.1295,301
Ancient Apparition,-3.438,50.0834,599
Anti-Mage,-3.4464,52.6174,2980
Lycan,-3.8481,48.9726,584
Enchantress,-4.2098,56.4569,604
Techies,-4.3271,52.8399,581
Undying,-5.5278,47.6821,755
Arc Warden,-6.6295,54.4943,356
Huskar,-6.6508,49.9594,1233
