Silencer,2.7563,50.5149,247206
Ember Spirit,2.4265,56.9062,168108
Templar Assassin,2.3301,58.3946,196489
Spectre,2.237,46.1386,219070
Venomancer,2.2241,50.9796,224625
Zeus,1.946,45.8445,278910
Clockwerk,1.792,52.0067,136292
Centaur Warrunner,1.7828,48.1453,128571
Nyx Assassin,1.7471,53.5623,162687
Leshrac,1.7397,57.3178,48819
Tiny,1.6847,58.2601,161443
Earthshaker,1.5899,51.7022,353818
Razor,1.4091,56.8176,131577
Disruptor,1.3562,52.9394,129036
Alchemist,1.3359,58.6384,142746
Underlord,1.3015,45.1281,76316
Jakiro,1.2759,48.5753,149368
Luna,1.1631,50.467,278154
Skywrath Mage,1.1197,52.2124,151826
Batrider,1.0748,59.8427,56488
Ursa,1.0712,48.5133,287395
Abaddon,1.0324,47.8412,98181
Earth Spirit,1.0065,60.8611,56550
Night Stalker,0.9709,52.2557,122754
Sven,0.8254,47.4408,452500
Spirit Breaker,0.8181,45.9259,403820
Vengeful Spirit,0.7929,49.269,167237
Dragon Knight,0.7874,51.6128,175555
Lion,0.6787,55.2483,240773
Tidehunter,0.5775,51.1919,117202
Clinkz,0.5713,52.4735,226899
Rubick,0.5042,56.114,213597
Axe,0.5017,49.1459,472877
Faceless Void,0.4904,51.205,261982
Troll Warlord,0.4831,48.7741,308926
Doom,0.4789,56.5793,90206
Puck,0.4102,58.8999,146394
Sniper,0.4098,50.0745,792571
Ogre Magi,0.3723,49.2589,239928
Ancient Apparition,0.3557,49.4136,99343
Lina,0.3148,55.9325,302257
Elder Titan,0.3089,50.011,54506
Death Prophet,0.3025,54.9942,105111
Phoenix,0.2689,52.0584,77801
Sand King,0.2625,52.6993,234204
Lone Druid,0.2579,62.3717,52830
Storm Spirit,0.247,53.2664,203710
Queen of Pain,0.2353,57.4894,213373
Gyrocopter,0.1906,55.2554,88413
Bounty Hunter,0.1607,52.5921,215300
Shadow Shaman,0.1019,47.5597,259068
Bloodseeker,0.0656,47.9373,566108
Kunkka,0.0533,53.2421,290730
Beastmaster,0.0315,56.319,38930
Magnus,0.03,56.6605,158064
Pugna,0.0005,53.6278,121310
Slardar,-0.0147,50.6666,231531
Lich,-0.0153,46.4654,142424
Undying,-0.0602,50.1172,81423
Treant Protector,-0.0818,50.8111,98065
Mirana,-0.0831,50.3434,326201
Drow Ranger,-0.0927,49.7873,321495
Medusa,-0.1612,55.1944,129127
Tusk,-0.1943,59.2508,97526
Crystal Maiden,-0.2018,46.6091,319712
Chen,-0.2186,58.7017,25265
Riki,-0.2207,45.3205,381220
Monkey King,-0.2263,54.8925,259221
Warlock,-0.2502,48.6235,102800
Wraith King,-0.2548,45.6788,306761
Shadow Fiend,-0.2832,52.7795,375909
Techies,-0.3486,53.2116,88289
Oracle,-0.3611,60.8869,43768
Huskar,-0.3626,53.4064,260330
Bristleback,-0.3718,52.2461,386752
Lycan,-0.3941,50.3319,83601
Winter Wyvern,-0.4434,51.9143,84572
Dazzle,-0.4775,50.378,122613
Witch Doctor,-0.4979,50.427,162962
Timbersaw,-0.5189,54.5415,172034
Bane,-0.5322,55.9793,67098
Weaver,-0.6311,49.5233,313424
Visage,-0.6315,52.0876,42177
Keeper of the Light,-0.714,52.661,110087
Anti-Mage,-0.7272,51.624,413218
Invoker,-0.7764,52.5382,703457
Omniknight,-0.8669,45.5863,145434
Enigma,-0.8671,48.9526,145275
Outworld Devourer,-0.9029,52.1962,174319
Juggernaut,-0.9583,51.7075,458490
Pudge,-0.9805,48.7902,740478
Morphling,-0.9831,55.0852,114243
Legion Commander,-1.0386,52.163,539117
Tinker,-1.1659,52.8197,237860
Phantom Assassin,-1.201,46.3536,740502
Dark Seer,-1.202,52.7833,65945
Windranger,-1.2213,51.9577,357329
Io,-1.398,64.7332,48119
Necrophos,-1.422,42.8882,404421
Naga Siren,-1.423,56.3835,48633
Broodmother,-1.4997,59.9475,63669
Nature's Prophet,-1.5311,56.8313,155233
Arc Warden,-1.6783,54.158,61699
Lifestealer,-1.7283,53.2902,215484
Brewmaster,-1.7967,49.5028,46262
Shadow Demon,-1.8119,54.3264,55842
Slark,-2.0619,51.989,376593
Meepo,-2.1872,53.9015,96999
Enchantress,-2.2964,55.7619,83661
Terrorblade,-2.5248,49.5371,105551
Chaos Knight,-3.3466,42.9951,220632
Phantom Lancer,-3.4688,45.5122,205180
