Pudge,3.6948,50.3646,111336
Clockwerk,3.4273,51.0133,24078
Necrophos,3.21,45.3944,58712
Invoker,3.0873,53.1,103256
Shadow Shaman,2.9642,48.1053,40060
Rubick,2.3048,54.8107,36699
Skywrath Mage,2.1477,50.5636,24219
Keeper of the Light,2.0404,52.5866,19233
Outworld Devourer,2.0018,52.2706,24486
Ancient Apparition,1.9682,48.6113,17607
Spirit Breaker,1.8948,44.9581,53552
Nyx Assassin,1.84,50.9166,28527
Wraith King,1.791,45.6259,38603
Techies,1.7562,52.4511,12076
Silencer,1.7259,47.1456,37889
Zeus,1.7048,43.7425,36285
Lion,1.579,53.1076,35767
Witch Doctor,1.5731,49.9015,25913
Faceless Void,1.5121,49.6086,40374
Legion Commander,1.508,51.7413,69859
Tinker,1.4048,52.4543,36567
Monkey King,1.3532,53.3798,41289
Bloodseeker,1.2278,46.7214,72517
Mirana,1.0637,48.9143,48728
Lina,1.0309,53.5069,44170
Windranger,1.0144,51.2943,52343
Juggernaut,0.8726,50.6996,60460
Crystal Maiden,0.8414,45.4875,50970
Ursa,0.7565,45.9998,36674
Treant Protector,0.7034,49.0262,16997
Tidehunter,0.6706,48.7184,19508
Dazzle,0.661,48.9617,20418
Storm Spirit,0.6441,50.8704,33027
Disruptor,0.5808,49.4751,23626
Phantom Assassin,0.5796,45.6713,88539
Anti-Mage,0.5262,50.1232,59633
Slark,0.4824,51.5799,53325
Morphling,0.4605,53.4522,19393
Troll Warlord,0.4575,46.4558,42408
Ogre Magi,0.4493,46.9691,38917
Lifestealer,0.4081,52.4269,29069
Riki,0.4032,43.9027,50826
Viper,0.3997,47.9123,42177
Lich,0.3695,44.7892,23106
Templar Assassin,0.3603,53.0911,25023
Puck,0.3354,55.4836,24883
Tiny,0.3092,53.615,22738
Night Stalker,0.3035,48.9358,19358
Bounty Hunter,0.1606,49.8564,32044
Earthshaker,0.124,47.7821,58210
Shadow Fiend,0.0644,50.3407,52822
Queen of Pain,-0.0393,53.9658,32389
Timbersaw,-0.0613,52.0065,26189
Sven,-0.0748,44.4406,55204
Elder Titan,-0.2128,47.0337,9844
Arc Warden,-0.2854,52.5477,11991
Slardar,-0.3609,47.7973,32483
Spectre,-0.3858,41.6459,33002
Oracle,-0.4735,57.1713,9029
Tusk,-0.5287,55.4352,16071
Huskar,-0.5452,50.3099,29841
Clinkz,-0.6286,48.585,32121
Centaur Warrunner,-0.6326,43.614,19120
Omniknight,-0.6402,43.7828,21280
Enigma,-0.6449,46.7685,23163
Earth Spirit,-0.6821,55.7408,12115
Sand King,-0.7237,49.0193,37426
Magnus,-0.7501,52.7808,27078
Phoenix,-0.7525,48.3767,14631
Abaddon,-0.8143,43.8493,15104
Batrider,-0.8894,54.4444,10530
Shadow Demon,-0.9773,52.1506,10671
Winter Wyvern,-1.0623,48.6042,14723
Warlock,-1.1582,45.3991,17562
Dark Seer,-1.1627,49.9872,11787
Venomancer,-1.2254,45.2229,37167
Doom,-1.2408,51.7422,15842
Bane,-1.3423,52.0283,12695
Dragon Knight,-1.4663,46.8003,21690
Meepo,-1.5429,51.5838,17015
Vengeful Spirit,-1.6849,44.5232,27069
Io,-1.7808,60.3079,10002
Ember Spirit,-1.7938,49.7871,27949
Death Prophet,-1.845,49.803,14471
Sniper,-1.8724,45.5643,81443
Weaver,-1.8745,45.8974,41706
Chaos Knight,-1.9654,42.4544,27811
Jakiro,-2.2743,42.8797,25252
Undying,-2.3399,45.374,13435
Brewmaster,-2.4281,46.3589,8665
Underlord,-2.4919,39.474,13918
Terrorblade,-2.5902,46.9216,16762
Drow Ranger,-2.7092,44.8555,40461
Pugna,-3.0551,47.778,21648
Axe,-3.105,43.4214,51919
Enchantress,-3.1713,51.5926,12872
Razor,-3.2181,49.0146,17152
Gyrocopter,-3.34,48.6931,14156
Luna,-3.3822,43.689,39550
Bristleback,-3.5345,46.5213,43825
Medusa,-3.7822,48.5767,17881
Lycan,-3.8964,44.3374,14852
Phantom Lancer,-4.3652,42.4839,25266
Broodmother,-4.8962,52.9152,12229
Alchemist,-5.818,48.2972,23022
Naga Siren,-6.106,48.4653,8536
Nature's Prophet,-6.205,48.9991,28727
Leshrac,-7.0084,45.4108,9991
Kunkka,-7.3144,43.5856,57558
Lone Druid,-7.9189,50.4343,10245
Beastmaster,-8.4674,44.687,8244
Chen,-12.7316,42.7904,6859
