Death Prophet,4.5511,56.9261,989
Lifestealer,3.4664,56.1958,2655
Juggernaut,3.3547,54.317,5652
Clockwerk,2.9961,50.8928,1456
Tinker,2.538,55.9986,2984
Sven,2.4887,47.5588,4035
Pudge,2.4635,51.3513,7844
Elder Titan,2.4274,51.7171,495
Visage,2.1409,58.309,343
Warlock,2.0548,50.2057,1215
Lycan,2.0435,51.1302,929
Omniknight,1.9607,47.9684,1649
Lich,1.9577,47.354,1096
Underlord,1.7892,46.7496,723
Invoker,1.7449,54.0059,7414
Magnus,1.6743,56.6936,2099
Shadow Demon,1.5587,58.2661,496
Sniper,1.543,50.7169,7532
Kunkka,1.5242,55.8403,2029
Chaos Knight,1.5157,48.9361,1739
Jakiro,1.4482,47.4168,1413
Dark Seer,1.3474,53.5433,762
Enigma,1.252,49.8969,1455
Razor,1.0934,54.1608,1442
Ursa,1.0148,47.638,3006
Luna,0.966,47.9293,3453
Wraith King,0.9388,45.4864,3423
Phoenix,0.9217,51.9294,907
Tiny,0.9049,56.2427,1730
Earth Spirit,0.8909,60.7692,650
Pugna,0.8795,53.6936,1110
Outworld Devourer,0.8162,51.7988,2168
Leshrac,0.7668,56.3176,554
Monkey King,0.7636,59.011,2447
Disruptor,0.7423,51.1682,1284
Spectre,0.7332,44.796,2623
Necrophos,0.7064,44.1946,3247
Vengeful Spirit,0.6805,48.0848,1932
Batrider,0.5668,57.4879,621
Spirit Breaker,0.5645,45.1708,3717
Terrorblade,0.5617,51.8364,1443
Sand King,0.5372,51.7488,2230
Huskar,0.4649,53.3661,2436
Ancient Apparition,0.332,50.0646,773
Morphling,0.3153,56.392,1408
Abaddon,0.304,44.9556,1239
Gyrocopter,0.2918,54.0603,862
Dazzle,0.2909,50.2377,1262
Viper,0.2687,48.7721,2647
Lion,0.2374,53.6426,2759
Queen of Pain,0.2113,55.9884,2079
Dragon Knight,0.1861,48.6486,1591
Alchemist,0.1521,57.5438,1710
Undying,0.0251,49.4577,922
Io,0.0071,65.6504,492
Chen,-0.0027,57.0977,317
Ember Spirit,-0.0375,52.6622,2573
Beastmaster,-0.0685,53.409,440
Ogre Magi,-0.1509,47.7178,2651
Meepo,-0.1526,56.3049,1023
Timbersaw,-0.2128,53.3216,2273
Troll Warlord,-0.2408,46.6838,3890
Crystal Maiden,-0.3038,45.1306,4323
Storm Spirit,-0.338,51.782,2918
Windranger,-0.4278,53.1995,3688
Nyx Assassin,-0.4322,49.6794,2184
Keeper of the Light,-0.4572,52.5616,1054
Winter Wyvern,-0.5185,52.8963,656
Centaur Warrunner,-0.5475,45.1811,1463
Shadow Shaman,-0.5505,46.086,1929
Medusa,-0.6473,53.4578,1446
Lone Druid,-0.6948,59.675,677
Witch Doctor,-0.7041,49.3243,1480
Riki,-0.7054,44.3583,4644
Legion Commander,-0.7077,51.2899,6783
Bounty Hunter,-0.7857,50.7462,2881
Axe,-0.8132,47.061,5359
Treant Protector,-0.8148,48.262,1496
Silencer,-0.8577,45.5555,2700
Slardar,-0.8647,48.665,3633
Lina,-0.8727,52.3606,3283
Enchantress,-0.92,56.25,960
Venomancer,-1.0338,44.9431,1760
Shadow Fiend,-1.0349,49.2087,5182
Tidehunter,-1.0491,49.0362,1297
Phantom Lancer,-1.0843,50.5286,1797
Night Stalker,-1.1614,48.0104,1533
Nature's Prophet,-1.1946,57.8693,1868
Bloodseeker,-1.2691,46.5134,5134
Tusk,-1.3053,56.9484,1029
Broodmother,-1.3094,60.2584,619
Arc Warden,-1.3584,56.3604,566
Anti-Mage,-1.3737,50.7838,4848
Templar Assassin,-1.3753,52.3744,2211
Phantom Assassin,-1.5146,44.6628,7935
Drow Ranger,-1.5534,47.4116,3284
Clinkz,-1.5767,49.8934,2347
Earthshaker,-1.881,47.0668,2949
Techies,-1.8845,51.5856,946
Bristleback,-1.8945,46.801,4861
Brewmaster,-1.9562,52.1645,462
Doom,-2.1571,54.3237,902
Bane,-2.2984,53.2051,780
Skywrath Mage,-2.3309,48.9857,1331
Zeus,-2.3806,40.8855,2507
Mirana,-2.6796,47.4318,3154
Puck,-2.7066,54.5209,1482
Rubick,-2.7077,52.0129,2161
Slark,-2.8216,50.9945,4977
Faceless Void,-4.0144,45.3717,2744
Oracle,-4.1117,56.4738,363
Naga Siren,-4.4956,53.3106,589
