Ursa,2.781,47.032,284291
Huskar,2.2488,52.8892,259932
Sven,2.1306,45.4815,460112
Troll Warlord,1.9525,47.0137,334045
Omniknight,1.8102,45.1247,156750
Lifestealer,1.6857,53.6424,225562
Outworld Devourer,1.5788,51.5984,186926
Undying,1.5577,48.6203,89409
Viper,1.2575,48.0421,357330
Necrophos,1.2453,42.167,472079
Lich,1.1543,44.4083,156626
Underlord,1.1143,41.6259,85454
Abaddon,1.0314,44.6154,102312
Anti-Mage,1.0251,50.1647,519849
Ancient Apparition,0.9648,46.821,115668
Jakiro,0.8898,44.932,161584
Enchantress,0.8774,55.9944,88932
Lycan,0.8605,48.451,90801
Enigma,0.8533,47.5239,166573
Elder Titan,0.8252,47.3514,59749
Dazzle,0.761,48.4644,143499
Invoker,0.7432,50.7526,861205
Monkey King,0.7349,52.7658,314302
Templar Assassin,0.7272,53.4867,182419
Terrorblade,0.6829,49.7184,110086
Witch Doctor,0.6796,48.4438,180087
Spirit Breaker,0.6504,42.4554,443307
Vengeful Spirit,0.6298,45.8568,186356
Slark,0.6264,51.4945,431389
Meepo,0.6058,53.7815,122343
Dark Seer,0.5942,51.5388,74666
Juggernaut,0.5811,50.035,492609
Sniper,0.5609,46.9883,771878
Clinkz,0.5447,49.2334,244082
Brewmaster,0.5142,48.7631,50288
Kunkka,0.5125,50.5639,351458
Shadow Fiend,0.4883,50.388,435544
Phoenix,0.4581,49.0807,93558
Venomancer,0.4394,45.9345,249148
Wraith King,0.4219,43.0908,323417
Leshrac,0.4076,52.7763,54333
Riki,0.3815,42.6312,422880
Shadow Shaman,0.3793,44.5702,291688
Bounty Hunter,0.3382,49.6042,245582
Death Prophet,0.2845,51.752,100995
Pudge,0.2802,46.7281,921384
Drow Ranger,0.2626,46.9201,330564
Slardar,0.2462,47.7431,254826
Lina,0.2457,52.7485,343666
Legion Commander,0.2456,50.2246,619349
Winter Wyvern,0.2447,49.463,93488
Crystal Maiden,0.2138,43.7182,388618
Disruptor,0.1863,48.5435,162273
Bloodseeker,0.137,44.7445,645744
Silencer,0.1217,44.6253,283099
Tiny,0.0565,53.4491,177232
Doom,-0.0739,52.9172,106332
Batrider,-0.0878,55.5605,64067
Luna,-0.1227,45.9459,282806
Earthshaker,-0.127,46.8269,426043
Beastmaster,-0.1375,53.0272,43406
Rubick,-0.1419,52.4049,274350
Treant Protector,-0.1702,47.5071,116153
Chaos Knight,-0.1786,43.0278,217738
Timbersaw,-0.2075,51.7353,193703
Storm Spirit,-0.2344,49.6404,258944
Magnus,-0.2876,53.2993,198584
Warlock,-0.289,45.345,113911
Dragon Knight,-0.3036,47.2695,163873
Ember Spirit,-0.3119,51.0034,206678
Weaver,-0.3267,46.5981,336099
Zeus,-0.351,40.2389,285696
Pugna,-0.3726,50.0907,141022
Faceless Void,-0.4045,47.0981,308721
Skywrath Mage,-0.4606,47.3567,177698
Phantom Assassin,-0.4619,43.7597,831566
Sand King,-0.5034,48.7541,271661
Keeper of the Light,-0.5064,49.7289,129661
Ogre Magi,-0.5114,45.1117,279823
Lion,-0.5338,50.876,272523
Alchemist,-0.5352,53.5963,160272
Gyrocopter,-0.5358,51.3071,91346
Chen,-0.5933,55.2888,29789
Mirana,-0.6575,46.5654,390309
Techies,-0.7188,49.649,100451
Medusa,-0.7667,51.3938,133804
Naga Siren,-0.7685,53.9337,51033
Morphling,-0.7687,52.2339,139015
Visage,-0.8303,48.7056,52343
Queen of Pain,-0.8316,53.3215,247322
Night Stalker,-0.8403,47.1632,130553
Tinker,-0.8614,49.9899,288574
Phantom Lancer,-0.8633,44.9883,201310
Nyx Assassin,-0.9033,47.6794,203230
Arc Warden,-0.9206,51.8652,73637
Earth Spirit,-0.9882,55.8347,70988
Lone Druid,-1.009,58.0038,58934
Nature's Prophet,-1.0737,54.2889,189941
Razor,-1.0761,50.9431,119386
Bane,-1.1347,52.2688,81144
Clockwerk,-1.1802,45.7031,166192
Shadow Demon,-1.2304,51.8424,65103
Tusk,-1.3209,54.9934,108311
Puck,-1.3428,54.0878,181050
Tidehunter,-1.3903,45.9385,126852
Axe,-1.4324,44.0382,451255
Bristleback,-1.4886,47.9361,375437
Io,-1.6255,61.6794,57815
Broodmother,-1.7606,56.6492,72271
Oracle,-1.8051,56.3698,51100
Centaur Warrunner,-1.8659,41.0481,140608
Spectre,-1.9262,38.6003,248503
