Meepo,7.0563,60.5322,72710
Legion Commander,3.8137,54.0302,182705
Troll Warlord,1.9577,48.1693,84423
Vengeful Spirit,1.5666,47.9711,50522
Lifestealer,1.4344,53.8108,58386
Sven,1.4236,46.1345,140218
Invoker,1.2991,51.9442,194395
Earthshaker,1.253,49.14,118201
Wraith King,1.148,45.2675,74254
Chaos Knight,1.1296,45.7108,68778
Visage,1.0324,51.3957,14723
Drow Ranger,0.9865,48.6782,78721
Templar Assassin,0.8969,54.0233,47809
Shadow Fiend,0.8466,51.4193,107866
Shadow Shaman,0.7895,46.2995,73897
Riki,0.7682,44.4822,94060
Tidehunter,0.7117,49.0801,35169
Spirit Breaker,0.6876,44.0582,98885
Witch Doctor,0.6781,49.3571,48066
Rubick,0.6649,53.6149,85894
Tiny,0.6497,54.3625,42200
Mirana,0.645,48.8373,98607
Disruptor,0.6254,49.8548,44794
Night Stalker,0.5277,49.4858,35887
Slardar,0.514,48.9572,66652
Lina,0.4814,53.3922,83336
Enigma,0.4513,48.1431,45211
Crystal Maiden,0.447,45.3698,98312
Juggernaut,0.3698,50.5812,120430
Magnus,0.349,54.2613,56156
Treant Protector,0.3394,48.9902,30106
Dazzle,0.273,48.8997,40538
Viper,0.2581,48.0856,84572
Jakiro,0.2575,45.5991,46582
Slark,0.2364,51.7238,100992
Lion,0.2331,52.1968,71489
Lycan,0.2127,48.7235,26636
Storm Spirit,0.2087,50.8068,63334
Ursa,0.1859,45.7195,74397
Ogre Magi,0.1753,46.9922,74874
Monkey King,0.1578,52.6463,73648
Clockwerk,0.1419,48.1172,43446
Silencer,0.1315,45.9045,86096
Pudge,0.1068,47.6297,216711
Razor,0.0885,52.6619,31368
Faceless Void,0.0663,48.5498,82303
Techies,-0.009,51.0595,21755
Bloodseeker,-0.017,45.8878,150565
Omniknight,-0.0579,44.5967,43326
Tusk,-0.0684,56.3533,29150
Centaur Warrunner,-0.0842,44.3941,36453
Dragon Knight,-0.1266,48.4264,40926
Abaddon,-0.1527,44.7525,27766
Nyx Assassin,-0.1614,49.3116,53458
Windranger,-0.1846,50.5369,93488
Clinkz,-0.2736,49.2615,55384
Skywrath Mage,-0.2951,48.5001,44905
Arc Warden,-0.463,52.774,20349
Puck,-0.5367,55.0769,45618
Lich,-0.5474,44.1259,40849
Shadow Demon,-0.5917,52.9482,19995
Keeper of the Light,-0.6039,50.3449,35952
Beastmaster,-0.6054,52.9624,13266
Phantom Assassin,-0.6441,44.9104,189996
Terrorblade,-0.659,49.1591,31396
Bristleback,-0.7443,49.4948,85613
Bounty Hunter,-0.774,49.2943,56972
Earth Spirit,-0.8046,56.0842,20364
Io,-0.8718,61.7964,16755
Elder Titan,-0.9187,46.6205,17074
Underlord,-0.9193,41.2198,24151
Kunkka,-0.9215,49.873,98105
Doom,-0.9414,52.4369,28478
Queen of Pain,-0.9463,53.5088,61089
Bane,-0.9575,52.8164,21037
Broodmother,-1.0099,57.2604,18835
Axe,-1.0127,45.6675,108646
Venomancer,-1.0312,45.6735,66706
Batrider,-1.0808,54.6963,18440
Brewmaster,-1.1338,47.9704,13944
Morphling,-1.1528,52.2636,34414
Warlock,-1.2123,45.6145,32380
Necrophos,-1.2171,41.4983,111419
Medusa,-1.2592,51.4349,34809
Sand King,-1.3385,48.764,70960
Luna,-1.4048,45.8456,71900
Outworld Devourer,-1.4116,49.2897,49698
Ember Spirit,-1.4546,50.4789,53032
Ancient Apparition,-1.4551,45.5045,35480
Oracle,-1.4596,56.671,15140
Spectre,-1.4975,40.7802,65159
Weaver,-1.5535,46.4927,77810
Undying,-1.5953,46.4027,24449
Gyrocopter,-1.6372,50.7499,24134
Phoenix,-1.7017,47.7528,26189
Zeus,-1.7104,40.6649,67584
Sniper,-1.7783,45.946,161274
Huskar,-1.7785,49.4667,57388
Death Prophet,-1.7982,50.2111,26050
Lone Druid,-1.8269,57.0044,17232
Dark Seer,-1.8678,49.6398,20548
Phantom Lancer,-1.8892,45.1677,48694
Enchantress,-2.0053,53.1627,21374
Anti-Mage,-2.0211,48.1047,120726
Tinker,-2.1795,49.3769,66203
Alchemist,-2.2642,52.1733,40766
Nature's Prophet,-2.4326,53.0914,47550
Naga Siren,-2.7346,52.2365,14375
Leshrac,-3.0694,49.705,15089
Pugna,-3.0712,48.0962,38791
Timbersaw,-4.4801,48.0598,49428
Chen,-5.6519,50.3001,9330
