Zeus,2.514,50.5107,243085
Bloodseeker,2.3881,54.1467,559734
Sven,1.8421,52.4704,442131
Techies,1.7997,59.4899,86860
Legion Commander,1.7967,58.7991,548265
Spectre,1.7361,49.6405,222115
Axe,1.7246,54.3526,426774
Skywrath Mage,1.7008,56.7891,136623
Centaur Warrunner,1.6783,52.0777,117914
Spirit Breaker,1.4943,50.6506,372418
Pudge,1.3466,54.8297,714129
Huskar,1.3442,59.0978,217228
Silencer,1.3336,53.0741,231872
Clinkz,1.2111,57.1244,201567
Drow Ranger,1.0137,54.9074,274218
Tinker,0.9962,58.9446,215117
Necrophos,0.9314,49.2328,362575
Luna,0.9311,54.2496,248186
Elder Titan,0.9299,54.6664,51013
Enigma,0.8386,54.7066,135967
Gyrocopter,0.8148,59.8506,79416
Puck,0.8041,63.2101,136880
Queen of Pain,0.7892,61.9362,188171
Ursa,0.7696,52.2704,239977
Shadow Fiend,0.6751,57.6808,356642
Ember Spirit,0.6455,59.0504,166766
Tiny,0.5885,61.0911,153780
Earthshaker,0.5679,54.6625,329088
Storm Spirit,0.4513,57.4381,199289
Night Stalker,0.4376,55.6861,111868
Dragon Knight,0.3808,55.2229,162570
Venomancer,0.3634,53.084,193770
Kunkka,0.331,57.4678,271618
Disruptor,0.3081,55.809,115467
Viper,0.3017,54.321,306763
Phantom Assassin,0.3015,51.7505,727785
Leshrac,0.2492,59.6768,44746
Doom,0.2261,60.3451,92821
Vengeful Spirit,0.075,52.547,148977
Bounty Hunter,0.0481,56.4469,197984
Pugna,0.0328,57.6067,109560
Clockwerk,-0.0191,54.1089,122989
Magnus,-0.0497,60.5286,154137
Ancient Apparition,-0.0514,52.9864,89974
Lich,-0.1066,50.4356,126470
Lina,-0.149,59.38,263750
Abaddon,-0.1694,50.6235,92692
Windranger,-0.2276,56.9091,323417
Sniper,-0.2618,53.459,654832
Arc Warden,-0.3027,59.5271,55499
Mirana,-0.3074,54.0981,300147
Death Prophet,-0.3674,58.2376,92696
Lycan,-0.3932,54.3373,75852
Bane,-0.4441,59.9967,61050
Troll Warlord,-0.5239,51.7997,275152
Enchantress,-0.5565,61.4795,72912
Weaver,-0.57,53.5866,264547
Brewmaster,-0.6007,54.7727,42554
Slardar,-0.6248,54.0373,217394
Razor,-0.6429,58.5133,104060
Ogre Magi,-0.6636,52.2139,216580
Beastmaster,-0.7035,59.4868,36361
Templar Assassin,-0.7389,59.029,150929
Earth Spirit,-0.7457,62.9107,52379
Timbersaw,-0.8196,58.1714,156656
Faceless Void,-0.8293,53.8737,253489
Batrider,-0.8538,61.6756,50250
Shadow Shaman,-0.8631,50.6186,227017
Bristleback,-0.8727,55.7476,351294
Lifestealer,-0.9267,58.0819,201529
Warlock,-0.9319,51.9283,91399
Tusk,-0.9553,62.3547,89557
Crystal Maiden,-0.9809,49.8586,286935
Sand King,-1.0131,55.3705,213888
Witch Doctor,-1.0449,53.8572,145128
Phoenix,-1.0534,54.643,70697
Alchemist,-1.1067,60.0733,137342
Juggernaut,-1.1353,55.533,448942
Riki,-1.2413,48.3689,366382
Monkey King,-1.2701,57.7948,241994
Jakiro,-1.3129,49.9373,129360
Morphling,-1.3537,58.6359,105425
Chen,-1.3699,61.3997,23562
Underlord,-1.3806,46.3815,69713
Slark,-1.4359,56.56,347892
Winter Wyvern,-1.5347,54.7324,74254
Medusa,-1.6092,57.6239,115629
Lone Druid,-1.6105,64.2944,49320
Nyx Assassin,-1.6886,54.0508,173999
Omniknight,-1.7132,48.7684,128737
Nature's Prophet,-1.7295,60.5492,143698
Dazzle,-1.8391,52.9485,106356
Undying,-1.8743,52.2232,75566
Treant Protector,-1.9341,52.8678,89421
Terrorblade,-2.0534,54.0193,95090
Chaos Knight,-2.0586,48.3843,200265
Oracle,-2.0805,62.8836,38223
Lion,-2.1509,56.4179,252987
Outworld Devourer,-2.1525,54.9006,164590
Naga Siren,-2.185,59.5314,45801
Visage,-2.2272,54.374,38603
Tidehunter,-2.3457,52.1512,110099
Shadow Demon,-2.3735,57.6358,48796
Rubick,-2.5307,56.9819,201850
Dark Seer,-2.5446,55.3115,57413
Meepo,-2.9384,57.0786,93401
Io,-3.151,66.736,44688
Invoker,-3.4136,54.0826,614489
Broodmother,-3.4868,61.7058,56946
Keeper of the Light,-4.1583,53.15,127983
Anti-Mage,-4.5456,52.1061,551854
Phantom Lancer,-7.6628,45.2591,262254
