Sand King,2.4805,60.8173,209317
Terrorblade,2.2751,60.4304,87158
Axe,2.0599,56.5955,346826
Mirana,1.651,57.9814,303823
Necrophos,1.5981,51.8861,343645
Tinker,1.5503,61.4597,223839
Crystal Maiden,1.5059,54.2823,256822
Shadow Fiend,1.468,60.3411,322493
Slardar,1.2119,57.8069,194641
Luna,1.1666,56.4272,222343
Riki,1.092,52.6739,381980
Winter Wyvern,1.0546,59.335,67584
Weaver,1.0337,57.1152,236154
Earthshaker,1.032,57.0656,330719
Phantom Lancer,0.9634,56.0287,155124
Enigma,0.923,56.701,113885
Outworld Devourer,0.892,59.8817,139363
Timbersaw,0.8537,61.7472,140356
Vengeful Spirit,0.8023,55.2445,134567
Lich,0.7997,53.3537,114127
Underlord,0.7662,50.6044,69239
Windranger,0.7557,59.761,285696
Naga Siren,0.7237,64.3841,39488
Jakiro,0.6214,53.9015,126334
Venomancer,0.606,55.3146,206607
Bloodseeker,0.5484,54.3384,427949
Monkey King,0.3116,61.2587,220166
Ancient Apparition,0.2956,55.3019,86167
Morphling,0.2685,62.1694,94421
Troll Warlord,0.2265,54.4864,223507
Leshrac,0.1242,61.4168,40484
Spirit Breaker,0.1005,51.2803,311084
Sniper,0.0899,55.7303,605386
Bounty Hunter,0.0697,58.4207,195927
Dragon Knight,0.0322,56.7743,137747
Disruptor,0.017,57.4492,111629
Drow Ranger,-0.0121,55.8087,236404
Omniknight,-0.0221,52.4914,116459
Witch Doctor,-0.0401,56.8268,133949
Gyrocopter,-0.0702,60.7701,69126
Shadow Demon,-0.0805,61.9676,47733
Phantom Assassin,-0.1285,53.2899,599503
Dark Seer,-0.1711,59.7011,53066
Shadow Shaman,-0.1798,53.2879,218524
Slark,-0.1932,59.6369,298065
Centaur Warrunner,-0.2272,52.0902,108625
Kunkka,-0.2424,58.8224,261900
Faceless Void,-0.2475,56.3826,226559
Clockwerk,-0.3003,55.8076,133315
Abaddon,-0.3089,52.4661,81563
Ogre Magi,-0.3277,54.5136,204235
Elder Titan,-0.3436,55.2799,47652
Puck,-0.3879,63.8764,130959
Dazzle,-0.4105,56.3526,95999
Lina,-0.4416,61.0181,263543
Magnus,-0.4645,61.9738,141463
Nyx Assassin,-0.5358,57.2085,178877
Sven,-0.5363,52.1311,348130
Undying,-0.5662,55.5351,68209
Night Stalker,-0.6223,56.5173,101921
Legion Commander,-0.6391,58.3832,436110
Treant Protector,-0.6497,56.1574,86302
Tidehunter,-0.6955,55.8295,108704
Nature's Prophet,-0.7062,63.4516,131437
Medusa,-0.74,60.407,105092
Bane,-0.7507,61.5331,54868
Tiny,-0.7588,61.5058,130116
Beastmaster,-0.7629,61.2855,32670
Queen of Pain,-0.7814,62.2548,183679
Bristleback,-0.7946,57.6972,290927
Arc Warden,-0.8474,60.8571,51989
Pugna,-0.8689,58.7283,125682
Lion,-0.8933,59.4966,200934
Invoker,-0.8938,58.2761,603717
Chaos Knight,-0.9328,51.5225,173299
Doom,-0.987,60.8976,79609
Keeper of the Light,-0.9941,58.2513,95457
Tusk,-1.0996,64.0212,80075
Phoenix,-1.1128,56.5455,70911
Silencer,-1.1204,52.6153,246468
Skywrath Mage,-1.1582,55.7871,127248
Spectre,-1.1695,48.7287,207982
Warlock,-1.288,53.5248,87337
Razor,-1.3156,59.7008,94600
Ursa,-1.3496,52.0945,190569
Enchantress,-1.3502,62.5084,66839
Techies,-1.364,58.1288,84932
Clinkz,-1.3855,56.3959,179965
Lone Druid,-1.5489,66.1049,42962
Earth Spirit,-1.6015,63.9715,52786
Rubick,-1.6424,59.853,217760
Batrider,-1.6602,62.7382,48213
Alchemist,-1.7534,61.1607,110087
Brewmaster,-1.7664,55.4657,37250
Death Prophet,-1.7996,58.6382,84363
Viper,-1.8366,54.1554,278912
Ember Spirit,-1.8489,58.4597,166523
Pudge,-1.9046,53.9195,663292
Visage,-2.2772,56.2574,36285
Wraith King,-2.5214,49.4892,243085
Storm Spirit,-2.7637,56.1165,186061
Chen,-2.8437,61.7227,21919
Juggernaut,-2.8528,55.7837,383341
Broodmother,-2.8554,64.2414,53590
Oracle,-2.9183,63.9272,37380
Templar Assassin,-3.0707,58.5133,135393
Lycan,-3.4063,53.1263,66035
Io,-3.513,68.0788,39394
Meepo,-3.6144,58.2653,84891
Lifestealer,-3.879,56.9327,169709
Anti-Mage,-5.3584,53.1024,380333
Huskar,-6.1666,53.3454,182156
